user,total_events,total_logons,total_logoffs,after_hours_events,weekend_events,unique_pcs_x,working_days,avg_events_per_day,first_login_hour,last_logout_hour,work_duration_hours,total_device_events,total_connects,total_disconnects,after_hours_device_events,weekend_device_events,total_email_events,total_email_sent,after_hours_email_count,weekend_email_count,attachment_email_count,average_email_size_kb,average_recipient_count,total_file_events,file_open_count,file_copy_count,file_write_count,file_delete_count,files_to_removable_media,files_from_removable_media,unique_files,unique_pcs_y,after_hours_file_activity,weekend_file_count,total_http_events,http_visit_count,http_download_count,http_upload_count,after_hours_http_count,weekend_http_count,unique_urls,unique_http_pcs,O,C,E,A,N,Prediction,Insider Probability,Risk Level
ACM2278,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,🟡 Medium
CMP2946,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,🟡 Medium
PLJ1771,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,🟡 Medium
CDE1846,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,🟡 Medium
MBG3183,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,🟡 Medium
GKA3690,712,356,356,0.0,0.0,1,356,2.0,8,17,9,0.0,0.0,0.0,0.0,0.0,339,118,0,0,76,395.63581996681415,1.9321533923303835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550,3550,0,0,0,0,143,1,38,45,19,41,32,0,0.05,🟢 Low
PWG3063,712,356,356,344.0,0.0,1,356,2.0,7,15,8,0.0,0.0,0.0,0.0,0.0,3122,1086,192,0,439,263.8626575262252,1.9522741832158872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,1779,0,245,1,42,27,19,21,31,0,0.04,🟢 Low
IRW2130,711,355,356,355.0,0.0,1,356,1.997191011235955,7,17,10,0.0,0.0,0.0,0.0,0.0,3150,1076,134,0,427,241.7686476934524,1.9577777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,1516,0,146,1,38,21,40,17,30,0,0.04,🟢 Low
MNP0290,712,356,356,353.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,3819,1303,233,0,707,348.0037482202475,1.945273631840796,56.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,40584,40584,0,0,1942,0,267,1,39,20,43,24,27,0,0.04,🟢 Low
KCM2495,712,356,356,356.0,0.0,1,356,2.0,8,19,11,0.0,0.0,0.0,0.0,0.0,3117,1082,508,0,409,237.2153917152912,1.963105550208534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,5430,0,242,1,41,39,16,38,27,0,0.04,🟢 Low
AFB1626,712,356,356,163.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,1042,363,18,0,137,268.7542586372361,1.9452975047984644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324,10324,0,0,123,0,231,1,48,20,12,17,27,0,0.04,🟢 Low
