user,total_events,total_logons,total_logoffs,after_hours_events,weekend_events,unique_pcs_x,working_days,avg_events_per_day,first_login_hour,last_logout_hour,work_duration_hours,total_device_events,total_connects,total_disconnects,after_hours_device_events,weekend_device_events,total_email_events,total_email_sent,after_hours_email_count,weekend_email_count,attachment_email_count,average_email_size_kb,average_recipient_count,total_file_events,file_open_count,file_copy_count,file_write_count,file_delete_count,files_to_removable_media,files_from_removable_media,unique_files,unique_pcs_y,after_hours_file_activity,weekend_file_count,total_http_events,http_visit_count,http_download_count,http_upload_count,after_hours_http_count,weekend_http_count,unique_urls,unique_http_pcs,O,C,E,A,N,Insider Probability,Risk Level
BYS3626,18.307082713414932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09778891239051918,0.0,1.0212177674993252,595.9965001938427,0.0,0.0,0.0,45.104301787019935,0.0,420.9317894673097,0.0,0.0,12.303155341444707,0.0,0.13241436126144807,0.0,231.106089205525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9660809855113237,0.2251041319914332,2.535557152234284,0.0,0.48,🟡 Medium
KCW3064,0.0,0.0,0.0,82.77059660586023,0.0,0.0,0.0,0.0,0.8243878650398451,0.0,0.0,0.0,318.6419930157252,0.0,0.0,0.0,0.0,152.97735185819423,0.0,115.13291836012404,97.63847165223851,0.0,0.0,0.0,0.0,0.0,233.25106239335017,0.0,0.0,0.0,0.0,0.0,0.0,231.10930960002986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,🟡 Medium
GEH3406,0.0,0.0,172.0662739222212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008063151932979974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.9941754393832,30.776230959253567,0.0,0.0,0.0,65.85199334852351,678.9528788030743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5341641861854605,0.0,0.46,🟡 Medium
MQR1657,346.346712573805,222.0989724748239,3.613213818256311,0.0,67.32344200192988,0.0,0.0,0.8636452200864594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.8761470238464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.38194940668404,0.0,264.8068541957491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285.68488579385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024502776291355,0.0,0.46,🟡 Medium
SBT2281,198.11253299776484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956926193520125,0.720504865711322,0.0,819.4324837598932,23.215825253968152,0.0,66.45621599336516,0.0,0.0,3.734269708870089,0.0,0.0,0.0,0.0,0.08921026844720274,0.0,0.0,0.0,55.61476562442091,0.0,0.0,0.0,0.0,13.721076111360269,0.0,0.0,0.0,0.0,0.0,0.0,1327.3464430688543,0.0,0.0,0.07563374177126499,0.0,1.1429180997535253,0.0,4.9208282829784515,0.0,0.45,🟡 Medium
SEM1862,0.0,0.0,25.966809367820535,0.0,0.0,0.0,0.0,0.911554022510898,0.4011523689421246,0.0,0.0,0.0,239.87015445505395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.023337646600414,0.0,0.0,11.102481011441162,0.0,29.507387204225104,0.0,0.0,45.648900234840916,0.0,0.0,5377.971230824906,7306.79748599522,0.0,0.0,285.1365758057411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,🟡 Medium
BDV2474,21.885645682376158,0.0,0.0,0.0,0.0,11.809652030830762,0.0,0.0,0.7580835836016094,1.2049353889500671,0.0,741.168772771837,0.0,0.0,0.0,50.825809552002895,0.0,0.0,0.0,0.0,0.0,0.0,0.023447549491982682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.70743379674326,0.0,0.0,0.0,11708.64497833134,0.0,0.0,0.0,0.0,407.04503170044165,0.0,0.0,0.0,0.0,0.7245447046192133,0.0,0.0,0.39,🟡 Medium
RRH3057,397.95390580435947,0.0,0.0,0.0,0.0,0.0,0.0,0.8774693291176211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0010586249176,0.0,0.0,0.0,0.0,163.60378934336612,87.8589775045418,0.0,715.8644391047651,264.8913349533884,0.0,0.0,0.0,0.0,0.0,318.5168609319317,0.0,0.0,0.0,0.0,0.0,699.8759052820837,0.0,0.0,467.9946286179908,913.9405032893106,0.0,0.0,3.1505430259557095,0.0,1.2459868193340484,0.0,0.36,🟡 Medium
BEH0103,0.0,0.0,0.0,0.0,0.0,61.67415390878124,0.0,0.0,0.05278061040043325,0.9184398946466005,0.0,0.0,0.0,0.0,0.0,99.50379313324697,0.0,0.0,127.86095842571767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.980736325087086,0.0,0.0,0.0,0.0,0.0,33.60981465869836,0.0,0.0,0.0,120.60608307698638,0.0,0.0,0.0,0.0,0.0,2.0468811789239267,0.0,0.0,2.336011872875284,0.33,🟡 Medium
CCD3168,270.2186203721976,100.08465441425642,0.0,0.0,29.89119526561846,0.0,0.0,0.0,0.5893992231155003,0.0,1.4416339386680364,459.9136097427943,0.0,210.28476437467447,140.1158737218371,0.0,0.0,0.0,0.0,48.76053719557888,0.0,0.0,0.16446534727691595,0.0,0.0,0.0,0.0,0.0,492.8647458083425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.258304780069487,795.7722128294267,0.0,0.0,0.0049349382572900675,0.0,0.0,4.9118261686428335,0.0,0.0,0.31,🟡 Medium
VNC1607,0.0,0.0,0.0,0.0,0.0,28.16456714285222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.9304643060723,96.83591331405049,57.06279329207832,0.0,0.0,53.58877744359358,0.0,96.41242302949,0.0,0.0,623.2541829870942,0.0,0.0,3047.736624808665,0.0,0.0,0.0,0.0,0.0,0.0,0.5184203242824575,0.3,🟡 Medium
RNM0466,0.0,0.0,0.0,0.9654355681541049,6.0668382688656575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.393371679507354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.32577572545122,128.7155003506553,0.0,0.0,0.0,510.27607612042885,0.0,0.0,27.299440044808936,75.71267470561455,205.43223349617372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09434778056742817,0.0,0.0,0.0,0.0,3.128219405424533,0.3,🟡 Medium
MCF3187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252030096540178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7471599967928,242.77260297128166,0.0,0.0,0.0,121.4404734745488,0.0,0.0,262.93126630533,0.0,369.48657652996536,0.0,24.54089914659385,0.0,0.0,0.0,0.0,0.0,0.0,23.342772355123408,1144.594853564145,565.4003724590851,0.09014951216429586,4.653186095826206,0.0,3.455990914232116,4.8525907497897105,0.0,0.23,🟢 Low
IIW0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643435005708946,0.0,0.0,0.0,0.0,402.9794274753907,0.0,0.0,246.51297934734947,859.545574329013,0.0,161.1590499260091,146.55072524586015,0.0,0.0,0.12562750856674867,0.0,0.0,487.9763472833345,0.0,0.0,0.0,0.0,0.0,0.0,107.82226193021972,0.0,9261.981156490087,9017.228872391817,468.64151597358006,92.6892485436805,0.0,789.3671847041393,258.9276486422003,0.0,0.0,0.9307836889957349,0.0,2.682201549397642,0.0,0.23,🟢 Low
WEV2867,378.08534015078374,137.2402207810508,0.0,0.0,0.0,0.0,0.0,0.8799815279175836,0.0,2.1087907281943212,0.0,116.19441657238215,108.93353336392671,0.0,0.0,213.49094732707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.11619851310002,555.9528716302807,0.0,18.522649441165353,0.0,0.0,0.0,0.0,0.0,68.09224776493112,0.0,0.0,0.0,0.0,853.5160363841878,0.0,0.0,0.0,3.666844932740795,1.321946489661996,0.0,0.0,0.0,0.21,🟢 Low
DMC1438,0.0,120.93104113923403,84.65381846223204,0.0,0.0,0.0,0.0,0.0,0.0,1.3938333599231763,0.0,0.0,0.0,9.868373990541453,29.3965568565451,9.454080379180805,18.196937360592884,0.0,0.0,0.0,0.0,109.41723317921664,0.0,0.0,0.0,0.0,0.0,0.0,408.068917318719,558.3078014579482,0.0,0.0,0.0,0.0,0.0,4485.366718506089,0.0,0.0,1649.8555322153925,0.0,0.0,0.0,4.740612236686047,0.63268657049114,2.229351519797837,4.37363221270976,0.0,0.19,🟢 Low
RJB1151,0.0,0.0,0.0,44.99841969364576,57.2101373119283,0.0,33.69557003987594,0.0,0.0,0.0,0.5901822997068629,0.0,282.17816295895136,342.5154719120121,0.0,0.0,185.6237939859738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.232717437144956,0.0,298.56580576489307,0.0,0.0,31.07654976529842,0.0,0.0,6716.850881332672,0.0,0.0,0.0,0.0,0.0,0.0,0.023272017175996963,0.0,0.0,0.0,0.0,0.0,0.09,🟢 Low
