user,total_events,total_logons,total_logoffs,after_hours_events,weekend_events,unique_pcs_x,working_days,avg_events_per_day,first_login_hour,last_logout_hour,work_duration_hours,total_device_events,total_connects,total_disconnects,after_hours_device_events,weekend_device_events,total_email_events,total_email_sent,after_hours_email_count,weekend_email_count,attachment_email_count,average_email_size_kb,average_recipient_count,total_file_events,file_open_count,file_copy_count,file_write_count,file_delete_count,files_to_removable_media,files_from_removable_media,unique_files,unique_pcs_y,after_hours_file_activity,weekend_file_count,total_http_events,http_visit_count,http_download_count,http_upload_count,after_hours_http_count,weekend_http_count,unique_urls,unique_http_pcs,O,C,E,A,N
CDE1846,730,365,365,362.0,0.0,10,356,2.050561797752809,8,19,11,0.0,0.0,0.0,0.0,0.0,3165,1127,304,0,1274,654.4078368754937,1.8281200631911527,147.0,147.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,30.0,0.0,33820,33820,0,0,3307,0,145,1,36,38,26,43,27
DNS1758,4104,2217,1887,2261.0,534.0,1226,419,9.794749403341289,0,23,23,0.0,0.0,0.0,0.0,0.0,4421,1505,0,574,1174,457.3010909402568,1.8520696674960413,63.0,63.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,47310,47310,0,0,397,6042,497,1,46,37,35,15,30
CMP2946,945,597,348,220.0,0.0,33,316,2.990506329113924,8,18,10,3173.0,1590.0,1583.0,15.0,0.0,4907,1750,38,0,1355,409.9024565910306,1.8508253515386184,1813.0,1094.0,182.0,410.0,127.0,443.0,381.0,683.0,1.0,22.0,0.0,51351,48454,2565,332,591,0,2873,1,36,46,15,37,30
BNR3128,46,23,23,23.0,0.0,1,23,2.0,6,15,9,0.0,0.0,0.0,0.0,0.0,204,74,20,0,70,568.395139208027,1.9411764705882355,8.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2185,2185,0,0,360,0,66,1,42,33,27,41,32
COD2351,712,356,356,356.0,0.0,1,356,2.0,8,18,10,0.0,0.0,0.0,0.0,0.0,1038,371,64,0,295,533.8494127453637,1.978805394990366,28.0,28.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,10324,10324,0,0,792,0,110,1,19,14,17,45,30
ACM2278,496,316,180,185.0,2.0,1,176,2.8181818181818183,1,17,16,22.0,11.0,11.0,22.0,6.0,2560,881,245,0,837,574.0420669555664,1.955078125,112.0,94.0,11.0,1.0,6.0,7.0,22.0,27.0,1.0,38.0,7.0,28357,28252,28,77,2086,1,222,1,18,37,32,36,28
KEF1057,3191,1736,1455,1918.0,17.0,899,366,8.718579234972678,0,23,23,1892.0,946.0,946.0,1634.0,0.0,3822,1345,0,0,918,446.4216532165751,1.945839874411303,2461.0,592.0,1088.0,277.0,504.0,786.0,1360.0,1034.0,437.0,2046.0,0.0,38448,38448,0,0,713,0,101,1,35,39,47,19,32
GCM1580,44,22,22,34.0,0.0,1,22,2.0,7,20,13,0.0,0.0,0.0,0.0,0.0,22,8,1,0,3,328.24955610795456,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,220,0,0,52,0,66,1,14,20,36,30,40
SJH0945,712,356,356,356.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,1052,354,116,0,248,412.2504789983365,2.023764258555133,12.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,10324,10324,0,0,1206,0,156,1,35,38,49,33,21
BPD2437,3436,1718,1718,2214.0,396.0,1147,411,8.360097323600973,0,23,23,2264.0,1132.0,1132.0,1880.0,264.0,4392,1544,66,500,1161,469.6519893236282,1.7877959927140257,3175.0,755.0,1401.0,352.0,667.0,1026.0,1732.0,1291.0,562.0,2463.0,404.0,46854,46854,0,0,567,5358,207,1,35,36,36,23,37
