user,total_events,total_logons,total_logoffs,after_hours_events,weekend_events,unique_pcs_x,working_days,avg_events_per_day,first_login_hour,last_logout_hour,work_duration_hours,total_device_events,total_connects,total_disconnects,after_hours_device_events,weekend_device_events,total_email_events,total_email_sent,after_hours_email_count,weekend_email_count,attachment_email_count,average_email_size_kb,average_recipient_count,total_file_events,file_open_count,file_copy_count,file_write_count,file_delete_count,files_to_removable_media,files_from_removable_media,unique_files,unique_pcs_y,after_hours_file_activity,weekend_file_count,total_http_events,http_visit_count,http_download_count,http_upload_count,after_hours_http_count,weekend_http_count,unique_urls,unique_http_pcs,O,C,E,A,N,Insider Probability,Risk Level
GKA3690,712,356,356,0.0,0.0,1,356,2.0,8,17,9,0.0,0.0,0.0,0.0,0.0,339,118,0,0,76,395.63581996681415,1.9321533923303835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550,3550,0,0,0,0,143,1,38,45,19,41,32,0.05,🟢 Low
GNB3337,164,106,58,59.0,40.0,1,58,2.827586206896552,7,18,11,0.0,0.0,0.0,0.0,0.0,57,23,4,15,17,497.32216282894734,1.719298245614035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580,580,0,0,38,150,166,1,34,43,39,22,35,0.05,🟢 Low
MBG3183,1036,654,382,0.0,0.0,27,356,2.9101123595505616,8,17,9,752.0,379.0,373.0,0.0,0.0,3180,1100,0,0,1134,602.7253166150747,1.868867924528302,1988.0,862.0,516.0,224.0,386.0,348.0,948.0,668.0,1.0,0.0,0.0,35604,34814,666,124,0,0,948,1,50,42,43,29,29,0.04,🟢 Low
ZZO2997,712,356,356,356.0,0.0,1,356,2.0,7,15,8,0.0,0.0,0.0,0.0,0.0,4845,1686,296,0,909,337.74635094169247,1.996078431372549,59.0,59.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,50908,50908,0,0,3168,0,263,1,19,38,22,39,37,0.04,🟢 Low
IRW2130,711,355,356,355.0,0.0,1,356,1.997191011235955,7,17,10,0.0,0.0,0.0,0.0,0.0,3150,1076,134,0,427,241.7686476934524,1.9577777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,1516,0,146,1,38,21,40,17,30,0.04,🟢 Low
KCM2495,712,356,356,356.0,0.0,1,356,2.0,8,19,11,0.0,0.0,0.0,0.0,0.0,3117,1082,508,0,409,237.2153917152912,1.963105550208534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,5430,0,242,1,41,39,16,38,27,0.04,🟢 Low
AFB1626,712,356,356,163.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,1042,363,18,0,137,268.7542586372361,1.9452975047984644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324,10324,0,0,123,0,231,1,48,20,12,17,27,0.04,🟢 Low
PWG3063,712,356,356,344.0,0.0,1,356,2.0,7,15,8,0.0,0.0,0.0,0.0,0.0,3122,1086,192,0,439,263.8626575262252,1.9522741832158872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33820,33820,0,0,1779,0,245,1,42,27,19,21,31,0.04,🟢 Low
PLJ1771,1364,739,625,798.0,0.0,432,157,8.687898089171975,0,23,23,4.0,2.0,2.0,2.0,0.0,1673,582,0,0,316,353.9571596682606,1.985056784219964,24.0,22.0,1.0,1.0,0.0,1.0,1.0,12.0,2.0,1.0,0.0,17902,17844,17,41,87,0,228,1,17,23,23,14,32,0.04,🟢 Low
EPM3878,712,356,356,308.0,0.0,1,356,2.0,7,18,11,0.0,0.0,0.0,0.0,0.0,3139,1094,128,0,878,484.9868588722523,1.9655941382605928,26.0,26.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,33820,33820,0,0,1323,0,215,1,42,40,36,15,29,0.04,🟢 Low
JDH1550,994,638,356,0.0,0.0,1,356,2.792134831460674,8,17,9,0.0,0.0,0.0,0.0,0.0,343,120,0,0,168,676.1986009247449,2.064139941690962,22.0,22.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,3550,3550,0,0,0,0,299,1,16,17,20,45,29,0.04,🟢 Low
ZJS1776,3304,1790,1514,1885.0,0.0,1011,356,9.280898876404494,0,23,23,0.0,0.0,0.0,0.0,0.0,3802,1326,0,0,1059,504.0615170161264,1.931088900578643,82.0,82.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,40584,40584,0,0,0,0,209,1,16,41,26,49,33,0.04,🟢 Low
MCM2189,986,630,356,356.0,0.0,1,356,2.769662921348315,7,15,8,0.0,0.0,0.0,0.0,0.0,345,122,29,0,154,894.2135501585145,2.0521739130434784,34.0,34.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0,3560,3560,0,0,399,0,186,1,19,48,37,18,24,0.04,🟢 Low
SSO2406,712,356,356,8.0,0.0,1,356,2.0,8,18,10,0.0,0.0,0.0,0.0,0.0,3094,1051,0,0,911,516.9721341962265,1.937621202327085,88.0,88.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,33820,33820,0,0,0,0,185,1,22,32,38,41,29,0.04,🟢 Low
MRC2160,712,356,356,172.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,350,124,4,0,111,606.3514871651786,1.9542857142857144,13.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,3560,3560,0,0,55,0,212,1,15,43,35,15,35,0.04,🟢 Low
RJF3634,540,270,270,540.0,0.0,1,270,2.0,7,18,11,0.0,0.0,0.0,0.0,0.0,267,86,34,0,101,633.4133529377341,1.9288389513108608,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2700,2700,0,0,455,0,195,1,42,45,19,44,24,0.04,🟢 Low
MNP0290,712,356,356,353.0,0.0,1,356,2.0,7,16,9,0.0,0.0,0.0,0.0,0.0,3819,1303,233,0,707,348.0037482202475,1.945273631840796,56.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,40584,40584,0,0,1942,0,267,1,39,20,43,24,27,0.04,🟢 Low
BNH2692,1205,735,470,592.0,0.0,99,356,3.384831460674157,6,18,12,0.0,0.0,0.0,0.0,0.0,3157,1078,373,0,1003,620.4136560371793,1.822616407982261,115.0,115.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,12.0,0.0,33820,33820,0,0,4552,0,205,1,43,37,15,40,25,0.02,🟢 Low
ISR1477,978,622,356,356.0,0.0,1,356,2.747191011235955,7,17,10,0.0,0.0,0.0,0.0,0.0,3062,1087,200,0,888,484.0797505842791,1.896146309601568,82.0,82.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,33820,33820,0,0,1399,0,255,1,37,12,32,31,32,0.02,🟢 Low
CDE1846,730,365,365,362.0,0.0,10,356,2.050561797752809,8,19,11,0.0,0.0,0.0,0.0,0.0,3165,1127,304,0,1274,654.4078368754937,1.8281200631911527,147.0,147.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,30.0,0.0,33820,33820,0,0,3307,0,145,1,36,38,26,43,27,0.02,🟢 Low
ACM2278,496,316,180,185.0,2.0,1,176,2.8181818181818183,1,17,16,22.0,11.0,11.0,22.0,6.0,2560,881,245,0,837,574.0420669555664,1.955078125,112.0,94.0,11.0,1.0,6.0,7.0,22.0,27.0,1.0,38.0,7.0,28357,28252,28,77,2086,1,222,1,18,37,32,36,28,0.01,🟢 Low
CMP2946,945,597,348,220.0,0.0,33,316,2.990506329113924,8,18,10,3173.0,1590.0,1583.0,15.0,0.0,4907,1750,38,0,1355,409.9024565910306,1.8508253515386184,1813.0,1094.0,182.0,410.0,127.0,443.0,381.0,683.0,1.0,22.0,0.0,51351,48454,2565,332,591,0,2873,1,36,46,15,37,30,0.01,🟢 Low
