logon_count,off_hours_logons,distinct_pcs,usb_connects,off_hours_usb,files_copied_to_usb,sensitive_files_to_usb,total_emails_sent,external_emails_sent,total_attachments,total_email_size,http_requests,cloud_job_visits,role_encoded,department_encoded,supervisor_encoded,user,day,is_insider,historical_events_proxy
1,1,1,0.0,0.0,0.0,0.0,9.0,7.0,4.0,275166.0,95.0,0.0,24,5,38,RVC0232,2011-01-21,0,1161.0
1,0,1,0.0,0.0,0.0,0.0,15.0,13.0,0.0,413368.0,162.0,1.0,32,10,67,NNA0610,2010-10-25,0,1536.0
2,0,1,0.0,0.0,0.0,0.0,15.0,3.0,8.0,439131.0,162.0,0.0,32,10,46,RZC0746,2011-01-11,0,2002.0
2,0,1,0.0,0.0,0.0,0.0,2.0,2.0,0.0,59232.0,10.0,0.0,30,12,50,GCG0951,2011-01-20,0,101.0
1,0,1,1.0,0.0,1.0,1.0,9.0,8.0,2.0,316472.0,104.0,0.0,14,14,28,NWT0098,2011-02-08,1,1612.0
2,0,1,0.0,0.0,0.0,0.0,14.0,9.0,13.0,374644.0,143.0,1.0,22,16,58,LRR0148,2011-02-23,0,2764.0
2,0,1,2.0,0.0,0.0,0.0,9.0,3.0,2.0,241228.0,95.0,2.0,11,13,66,JJM0203,2010-03-17,0,252.0
1,1,1,0.0,0.0,0.0,0.0,9.0,7.0,1.0,301254.0,95.0,0.0,33,5,45,TSM0927,2010-05-11,0,420.0
1,0,1,4.0,0.0,2.0,1.0,9.0,0.0,1.0,307127.0,103.0,5.0,14,14,28,NWT0098,2011-02-18,1,1673.0
1,0,1,0.0,0.0,0.0,0.0,14.0,2.0,6.0,407981.0,143.0,2.0,22,21,24,CCW0031,2011-04-07,0,1732.0
2,1,1,0.0,0.0,0.0,0.0,10.0,8.0,6.0,292540.0,95.0,0.0,28,5,45,JMC0925,2010-07-01,0,511.0
1,1,1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,71432.0,29.0,0.0,39,15,11,JML0909,2011-03-01,0,661.0
1,1,1,5.0,0.0,5.0,5.0,9.0,1.0,5.0,273386.0,95.0,0.0,10,14,49,DIB0285,2010-09-10,1,1064.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,3.0,244513.0,95.0,0.0,40,14,15,MBG0438,2010-06-17,0,400.0
2,0,1,2.0,0.0,5.0,5.0,15.0,1.0,26.0,388472.0,162.0,0.0,32,10,67,MTB0620,2010-08-24,0,1728.0
1,1,1,0.0,0.0,0.0,0.0,10.0,1.0,5.0,347080.0,90.0,0.0,25,14,49,HGN0287,2011-05-11,0,1284.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,0.0,273736.0,95.0,5.0,28,5,36,BMC0547,2010-10-04,0,895.0
2,0,1,3.0,0.0,12.0,10.0,9.0,1.0,8.0,291815.0,95.0,4.0,25,14,33,DIB0081,2010-03-31,0,689.0
1,0,1,0.0,0.0,0.0,0.0,9.0,5.0,0.0,247780.0,95.0,7.0,28,5,53,AAF0791,2011-01-05,0,1201.0
1,0,1,0.0,0.0,0.0,0.0,9.0,5.0,2.0,260877.0,95.0,7.0,25,14,33,HAH0248,2011-03-04,0,691.0
1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33058.0,10.0,0.0,30,12,4,BHW0458,2010-05-24,0,89.0
1,0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,103344.0,29.0,3.0,3,12,20,ABH0663,2010-06-18,0,144.0
2,1,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,99134.0,27.0,4.0,39,15,29,MHH0180,2010-01-07,0,6.0
2,0,1,0.0,0.0,0.0,0.0,9.0,1.0,2.0,305256.0,95.0,0.0,11,18,42,AHC0142,2011-01-01,0,959.0
1,0,1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,78395.0,29.0,0.0,39,15,12,CCW0524,2010-04-30,0,76.0
6,8,5,5.0,3.0,10.0,9.0,11.0,9.0,6.0,283176.0,116.0,1.0,17,21,25,MOS0047,2010-08-05,1,2759.0
1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29558.0,10.0,0.0,30,12,3,ADD0846,2011-04-08,0,440.0
1,0,1,1.0,0.0,3.0,3.0,9.0,1.0,5.0,293522.0,102.0,10.0,14,14,28,NWT0098,2011-03-01,1,1708.0
1,0,1,0.0,0.0,0.0,0.0,15.0,6.0,4.0,469025.0,162.0,0.0,32,10,67,LEM0605,2010-08-20,0,1134.0
1,0,1,7.0,0.0,3.0,2.0,1.0,1.0,0.0,19977.0,10.0,0.0,30,12,50,HXL0968,2010-10-28,1,537.0
1,0,1,2.0,0.0,0.0,0.0,9.0,2.0,4.0,322252.0,98.0,2.0,14,14,28,NWT0098,2011-02-16,1,1662.0
1,1,1,0.0,0.0,0.0,0.0,9.0,7.0,4.0,257149.0,95.0,0.0,35,11,39,CBG0398,2010-04-13,0,339.0
2,1,2,0.0,0.0,0.0,0.0,3.0,2.0,2.0,58422.0,29.0,0.0,39,15,29,SJC0333,2010-03-29,0,128.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28437.0,10.0,0.0,30,12,54,ILR0304,2010-12-17,0,253.0
7,8,6,8.0,4.0,7.0,6.0,11.0,3.0,6.0,310664.0,116.0,0.0,17,21,25,MOS0047,2010-07-30,1,2687.0
1,0,1,0.0,0.0,0.0,0.0,9.0,4.0,1.0,286921.0,90.0,2.0,6,11,61,DRR0242,2011-01-07,0,1145.0
2,0,1,3.0,0.0,2.0,2.0,9.0,7.0,3.0,289022.0,95.0,8.0,7,14,28,CIM0271,2011-01-04,0,1542.0
1,0,1,0.0,0.0,0.0,0.0,15.0,4.0,12.0,412873.0,162.0,0.0,32,10,46,RGH0728,2010-07-07,0,755.0
1,0,1,0.0,0.0,0.0,0.0,15.0,4.0,20.0,475297.0,162.0,0.0,32,10,34,BMS0877,2010-05-17,0,431.0
0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,10,34,FGW0853,2010-04-17,0,399.0
