user,day,logon_count,off_hours_logons,distinct_pcs,usb_connects,off_hours_usb,files_copied_to_usb,sensitive_files_to_usb,total_emails_sent,external_emails_sent,total_attachments,total_email_size,http_requests,cloud_job_visits,role_encoded,department_encoded,supervisor_encoded,is_insider
ADB8311,2010-01-04,3,2,1,0.0,0.0,1.0,0.0,9.0,1.0,10.0,3225583.0,134.0,3.0,8,0,8,0
ADG1145,2010-01-04,1,0,1,1.0,0.0,1.0,0.0,9.0,3.0,3.0,968843.0,35.0,0.0,7,0,27,0
ASC7389,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,7.0,0.0,0.0,192036.0,107.0,2.0,4,1,25,0
ATM7194,2010-01-04,3,0,1,0.0,0.0,1.0,1.0,11.0,3.0,14.0,3550907.0,31.0,0.0,3,1,8,0
AUI6616,2010-01-04,1,0,1,1.0,0.0,2.0,2.0,10.0,3.0,13.0,3554808.0,79.0,2.0,0,5,23,0
AYY2409,2010-01-04,2,0,2,1.0,0.0,0.0,0.0,15.0,0.0,8.0,1963693.0,117.0,5.0,10,5,7,0
AZE5960,2010-01-04,3,2,1,0.0,0.0,0.0,0.0,15.0,1.0,8.0,2638405.0,83.0,2.0,10,5,26,0
BFH3103,2010-01-04,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24419.0,101.0,2.0,6,4,26,0
BMU1894,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,3.0,0.0,2.0,522196.0,57.0,4.0,0,3,5,0
BZL8931,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,7.0,0.0,8.0,1903886.0,66.0,1.0,5,4,19,0
CCL9026,2010-01-04,2,0,1,0.0,0.0,3.0,2.0,5.0,0.0,4.0,689785.0,56.0,2.0,6,2,26,0
COU3039,2010-01-04,2,0,2,0.0,0.0,0.0,0.0,6.0,1.0,1.0,450913.0,79.0,3.0,2,4,11,0
COX0638,2010-01-04,1,1,1,0.0,0.0,6.0,4.0,9.0,0.0,12.0,3392683.0,84.0,3.0,2,5,1,0
CQZ8674,2010-01-04,2,2,2,3.0,0.0,5.0,0.0,1.0,1.0,1.0,73825.0,63.0,2.0,2,5,15,0
CUR4388,2010-01-04,1,0,1,0.0,0.0,4.0,4.0,9.0,5.0,6.0,1877193.0,35.0,0.0,8,4,9,0
CVC0519,2010-01-04,1,0,1,0.0,0.0,4.0,2.0,8.0,0.0,10.0,2327588.0,45.0,0.0,3,0,12,0
DHG6594,2010-01-04,1,0,2,1.0,0.0,0.0,0.0,4.0,1.0,7.0,1742004.0,63.0,4.0,8,5,19,0
DJY4258,2010-01-04,1,0,2,0.0,0.0,0.0,0.0,9.0,0.0,10.0,2401112.0,33.0,2.0,11,2,26,0
DLS2023,2010-01-04,2,0,2,0.0,0.0,2.0,2.0,17.0,2.0,18.0,4193639.0,99.0,6.0,7,5,0,0
DNM3159,2010-01-04,2,2,1,1.0,0.0,10.0,8.0,8.0,4.0,8.0,1620762.0,76.0,1.0,11,3,15,0
DON7838,2010-01-04,1,0,1,0.0,0.0,6.0,3.0,2.0,0.0,3.0,516392.0,43.0,0.0,10,6,24,0
DOO3709,2010-01-04,5,2,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,87630.0,85.0,3.0,1,2,11,0
DPC6498,2010-01-04,1,0,1,0.0,0.0,9.0,4.0,8.0,2.0,6.0,1509098.0,115.0,4.0,11,6,26,0
DQV1058,2010-01-04,5,4,2,0.0,0.0,4.0,3.0,9.0,1.0,6.0,1585438.0,54.0,4.0,10,5,17,0
DXC7486,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,4.0,1.0,6.0,1309260.0,46.0,0.0,10,2,21,0
DYK4823,2010-01-04,1,0,1,0.0,0.0,2.0,0.0,5.0,0.0,9.0,1800034.0,32.0,2.0,10,3,11,0
EEN0449,2010-01-04,1,0,2,0.0,0.0,1.0,0.0,10.0,2.0,12.0,2079935.0,30.0,0.0,10,3,3,0
EHP1536,2010-01-04,2,2,1,1.0,0.0,0.0,0.0,15.0,0.0,16.0,3144437.0,97.0,0.0,6,5,8,0
