employee_code,full_name,department_name,login_time,failed_logins,vpn_usage,login_frequency,file_downloads,file_uploads,cloud_uploads,usb_usage,data_transfer_size,email_count,website_visits,database_access,privilege_escalation,external_storage_usage,device_changes,working_hours,session_duration,location,department,employee_role
SYN-001,Synthetic Employee 01,Legal,4,25,189,8.43,474,388,122,26,13891,1509,2036,588,7,16,14,0.81,5269,4,5,8
SYN-002,Synthetic Employee 02,Finance,4,46,176,9.79,595,421,141,30,16362,1818,1871,571,15,15,9,0.79,7357,4,5,8
SYN-003,Synthetic Employee 03,HR,10,1,2,1.68,24,9,1,0,97,95,202,9,0,0,1,0.04,271,1,1,2
SYN-004,Synthetic Employee 04,Engineering,8,1,6,1.38,6,10,2,0,69,64,198,5,0,0,1,0.06,367,1,1,2
SYN-005,Synthetic Employee 05,Engineering,20,4,33,3.43,134,37,26,3,1000,348,643,71,0,1,2,0.38,1677,2,2,3
SYN-006,Synthetic Employee 06,IT Security,21,7,26,4.11,110,80,18,4,1852,400,782,67,1,3,2,0.44,1095,2,2,3
SYN-007,Synthetic Employee 07,HR,20,6,37,3.78,108,63,12,2,803,640,561,39,1,1,3,0.25,1680,2,2,3
SYN-008,Synthetic Employee 08,Legal,19,5,41,3.83,150,43,14,4,1617,584,662,49,1,3,2,0.43,1008,2,2,3
SYN-009,Synthetic Employee 09,Sales,20,3,32,2.6,123,77,24,4,1865,326,637,65,0,1,3,0.44,1433,2,2,3
SYN-010,Synthetic Employee 10,Engineering,8,1,8,1.67,24,4,3,0,91,65,118,5,0,0,1,0.05,262,1,1,2
SYN-011,Synthetic Employee 11,Legal,1,44,187,8.68,636,318,138,30,14834,1611,2043,303,8,26,11,0.89,7177,4,5,8
SYN-012,Synthetic Employee 12,Engineering,8,0,3,1.17,23,5,3,0,27,59,196,9,0,0,1,0.08,549,1,1,2
SYN-013,Synthetic Employee 13,IT Security,2,28,197,9.87,535,530,185,19,17451,2175,2485,365,6,18,8,0.86,7337,4,5,8
SYN-014,Synthetic Employee 14,Legal,4,19,65,7.48,303,196,48,5,3976,1095,1543,115,2,9,6,0.56,3590,3,5,5
SYN-015,Synthetic Employee 15,Legal,4,16,69,6.99,285,189,42,8,4748,1198,1247,220,2,8,7,0.54,2672,3,5,5
SYN-016,Synthetic Employee 16,Sales,3,17,119,5.48,270,196,41,8,4848,839,1229,179,4,9,4,0.69,3536,3,5,5
SYN-017,Synthetic Employee 17,Finance,3,43,177,9.55,567,457,153,16,15426,2187,2118,346,7,15,13,0.86,8975,4,5,8
SYN-018,Synthetic Employee 18,Engineering,21,3,36,2.61,80,54,14,4,1301,353,969,76,0,4,4,0.38,1563,2,2,3
SYN-019,Synthetic Employee 19,Legal,3,14,83,7.43,254,187,78,9,6996,1206,1141,142,4,12,6,0.73,3722,3,5,5
SYN-020,Synthetic Employee 20,IT Security,1,26,197,8.21,631,302,182,24,15485,2140,2263,447,7,26,15,0.82,5558,4,5,8
SYN-021,Synthetic Employee 21,Sales,18,6,28,3.74,141,36,27,1,2313,646,732,47,1,4,2,0.4,1368,2,2,3
