user,department,role,business_unit,login_count,logoff_count,night_login_count,weekend_login_count,unique_pc_count,night_login_ratio,weekend_login_ratio,pc_switching_frequency,usb_connect_count,usb_disconnect_count,usb_total_activity,usb_connect_ratio,file_copy_count,avg_daily_file_copy,max_daily_file_copy,email_sent_count,external_email_count,avg_attachment_count,avg_email_size,external_email_ratio,website_visit_count,unique_domain_count,avg_daily_web_activity,O,C,E,A,N,threat_label
AAE0190,1 - Purchasing,Manager,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4711,2237,0.38,30020.39,0.4748,49478,187,143.0,36.0,30.0,14.0,50.0,29.0,0
AAF0535,3 - FieldService,Technician,1,164,164,0,0,1,0.0,0.0,0.0061,688,342,1030,0.668,357,3.19,11,480,191,0.76,30397.4,0.3979,4878,98,29.74,17.0,21.0,36.0,33.0,31.0,1
AAF0791,1 - Research,Physicist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3012,1847,0.0,29958.5,0.6132,32870,253,95.0,14.0,40.0,40.0,50.0,34.0,0
AAL0706,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,336,189,0.43,29828.18,0.5625,3460,168,10.0,37.0,14.0,28.0,13.0,25.0,0
AAM0658,3 - FieldService,Technician,1,229,229,5,1,1,0.0218,0.0044,0.0044,13,6,19,0.6842,31,10.33,11,659,331,0.93,29895.53,0.5023,6498,117,28.88,43.0,35.0,37.0,36.0,22.0,1
AAN0823,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,339,171,0.44,29791.21,0.5044,3450,104,10.0,24.0,16.0,45.0,24.0,28.0,0
AAS0442,3 - Engineering,Technician,1,86,50,0,0,1,0.0,0.0,0.0116,0,0,0,0.0,0,0.0,0,145,67,0.88,30387.1,0.4621,1450,55,29.0,36.0,43.0,22.0,22.0,31.0,0
AAV0450,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,336,169,0.37,30101.82,0.503,3460,106,10.0,44.0,24.0,36.0,41.0,33.0,0
AAW0353,3 - Assembly,AssemblySupervisor,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1000,504,0.0,29620.0,0.504,10034,95,29.0,49.0,45.0,19.0,25.0,34.0,0
ABC0174,2 - Sales,Salesman,1,533,296,0,83,1,0.0,0.1557,0.0019,1276,634,1910,0.6681,589,3.15,12,4239,2307,0.23,29848.88,0.5442,48095,216,162.48,15.0,41.0,34.0,13.0,32.0,1
ABC0253,3 - Engineering,ElectricalEngineer,1,617,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,3015,1478,0.21,30265.86,0.4902,32680,167,95.0,21.0,15.0,41.0,30.0,28.0,0
ABH0663,3 - Assembly,AssemblySupervisor,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1006,544,0.22,29335.43,0.5408,10034,164,29.0,47.0,49.0,41.0,11.0,34.0,0
ABM0845,3 - Assembly,ProductionLineWorker,1,633,369,0,0,2,0.0,0.0,0.0032,0,0,0,0.0,0,0.0,0,340,197,0.27,29456.2,0.5794,3460,145,10.0,45.0,21.0,35.0,50.0,29.0,0
ABN0239,2 - SoftwareManagement,SoftwareEngineer,1,613,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,3023,1418,0.4,30014.55,0.4691,32870,175,95.0,21.0,37.0,20.0,39.0,25.0,0
ACC0042,6 - Security,ITAdmin,1,1362,1362,650,0,618,0.4772,0.0,0.4537,0,0,0,0.0,0,0.0,0,3676,1749,0.59,30021.77,0.4758,39336,182,113.69,23.0,19.0,37.0,20.0,31.0,0
ACV0812,2 - SoftwareManagement,ComputerProgrammer,1,770,509,71,5,2,0.0922,0.0065,0.0026,0,0,0,0.0,0,0.0,0,3040,1065,0.54,30008.49,0.3503,31140,124,90.0,42.0,37.0,12.0,45.0,28.0,0
ADC0391,2 - SoftwareManagement,SoftwareEngineer,1,622,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,3057,1312,0.76,29973.25,0.4292,32870,159,95.0,50.0,43.0,40.0,33.0,38.0,0
ADD0846,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,333,160,0.52,30745.54,0.4805,3460,104,10.0,18.0,19.0,25.0,12.0,35.0,0
ADF0397,2 - SoftwareManagement,SoftwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3038,1649,0.2,29737.62,0.5428,32870,209,95.0,39.0,16.0,10.0,40.0,35.0,0
AES0827,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,336,194,0.0,29789.62,0.5774,3450,198,10.0,39.0,40.0,34.0,38.0,23.0,0
AGB0186,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1003,417,0.0,29865.22,0.4158,10034,110,29.0,18.0,10.0,41.0,15.0,35.0,0
AGB0643,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1012,568,0.36,30272.85,0.5613,10034,177,29.0,32.0,39.0,20.0,44.0,27.0,0
AHC0142,4 - QualityControl,Engineer,1,755,442,0,66,3,0.0,0.0874,0.004,0,0,0,0.0,0,0.0,0,3382,1573,0.55,30189.72,0.4651,36670,166,95.0,34.0,23.0,40.0,15.0,26.0,0
AHD0848,3 - Assembly,ProductionLineWorker,1,731,431,0,55,22,0.0,0.0752,0.0301,299,149,448,0.6674,199,3.26,9,376,155,0.72,29807.82,0.4122,3820,99,10.0,24.0,30.0,49.0,16.0,30.0,0
AHG0634,3 - FieldService,Technician,1,294,171,2,0,2,0.0068,0.0,0.0068,0,0,0,0.0,0,0.0,0,463,288,0.54,30719.27,0.622,4740,172,30.0,31.0,36.0,42.0,41.0,27.0,0
AHM0410,3 - Engineering,SystemsEngineer,1,725,458,0,6,3,0.0,0.0083,0.0041,782,388,1170,0.6684,2198,8.62,18,3063,1098,0.63,29957.75,0.3585,33440,63,95.0,34.0,43.0,15.0,18.0,26.0,0
AIB0948,3 - Assembly,ProductionLineWorker,1,741,466,0,0,34,0.0,0.0,0.0459,5963,2973,8936,0.6673,1669,5.32,15,328,164,0.2,30101.59,0.5,3460,131,10.0,42.0,31.0,27.0,20.0,31.0,0
AIH0675,1 - Research,Scientist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2994,1450,0.42,30023.19,0.4843,32775,157,95.0,25.0,39.0,38.0,40.0,37.0,0
AIM0627,2 - Sales,Salesman,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,5009,2282,0.0,29983.92,0.4556,55890,194,162.0,36.0,39.0,16.0,41.0,23.0,0
AIP0394,2 - SoftwareManagement,SoftwareEngineer,1,643,382,27,3,1,0.042,0.0047,0.0016,0,0,0,0.0,0,0.0,0,3044,1424,0.59,30219.26,0.4678,32775,195,95.0,17.0,16.0,38.0,14.0,26.0,0
AIP0982,3 - Training,ManagementTrainer,1,636,364,0,0,2,0.0,0.0,0.0031,729,363,1092,0.6676,6182,25.76,27,3328,1419,0.56,29854.28,0.4264,34500,86,100.0,43.0,20.0,43.0,41.0,33.0,0
AIS0405,2 - SoftwareManagement,SoftwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2995,1610,0.45,29678.2,0.5376,32870,235,95.0,40.0,45.0,14.0,37.0,35.0,0
AJC0840,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,364,188,0.24,30738.02,0.5165,3460,92,10.0,14.0,24.0,19.0,33.0,37.0,0
AJD0074,3 - Engineering,AdministrativeAssistant,1,750,452,0,74,2,0.0,0.0987,0.0027,294,144,438,0.6712,515,4.86,11,3781,1957,0.57,30120.36,0.5176,44118,163,114.0,19.0,37.0,45.0,22.0,34.0,0
AJF0370,6 - Security,ITAdmin,1,1777,1490,711,77,661,0.4001,0.0433,0.372,8502,4241,12743,0.6672,11053,29.63,54,3927,2194,0.56,30341.45,0.5587,42445,235,113.79,37.0,33.0,11.0,15.0,36.0,0
AJH0175,2 - Sales,Salesman,1,405,405,40,0,1,0.0988,0.0,0.0025,317,158,475,0.6674,236,3.28,9,4976,2455,0.21,30211.93,0.4934,52938,136,153.0,19.0,19.0,16.0,33.0,37.0,0
AJL0462,3 - Assembly,ProductionLineWorker,1,652,382,30,2,1,0.046,0.0031,0.0015,0,0,0,0.0,0,0.0,0,338,165,0.54,30044.62,0.4882,3114,96,9.0,16.0,24.0,44.0,31.0,28.0,0
AJN0607,2 - Sales,Salesman,1,721,456,0,0,2,0.0,0.0,0.0028,2061,1028,3089,0.6672,820,3.52,12,5022,2549,0.74,29752.1,0.5076,56052,171,162.0,45.0,42.0,16.0,47.0,23.0,0
AJP0723,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,337,174,0.0,30177.99,0.5163,3460,94,10.0,24.0,29.0,17.0,12.0,29.0,0
AJR0319,2 - Sales,Salesman,1,812,446,0,181,1,0.0,0.2229,0.0012,0,0,0,0.0,0,0.0,0,6434,2917,0.51,30299.0,0.4534,72252,153,162.0,40.0,13.0,37.0,16.0,24.0,0
AJR0932,2 - SoftwareManagement,ComputerProgrammer,1,199,199,3,0,1,0.0151,0.0,0.005,38,19,57,0.6667,47,23.5,24,1709,760,0.0,30017.51,0.4447,18527,175,95.01,46.0,30.0,35.0,12.0,29.0,1
AKC0924,1 - Research,Scientist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3047,1501,0.44,29946.52,0.4926,32870,140,95.0,40.0,44.0,35.0,37.0,27.0,0
AKF0709,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,331,204,0.0,29338.92,0.6163,3460,143,10.0,42.0,31.0,29.0,22.0,32.0,0
AKH0758,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1008,385,0.41,30344.75,0.3819,10005,71,29.0,24.0,38.0,40.0,37.0,27.0,0
AKK0329,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1011,632,0.69,29979.56,0.6251,10034,223,29.0,45.0,22.0,25.0,39.0,22.0,0
AKR0057,1 - Research,AdministrativeAssistant,1,419,243,0,0,13,0.0,0.0,0.031,966,480,1446,0.668,540,3.53,10,2459,1103,0.18,30059.79,0.4486,26463,177,114.56,50.0,41.0,20.0,18.0,30.0,1
