logon_count,logoff_count,off_hours_logons,unique_pcs,device_connects,device_disconnects,unique_device_pcs,file_activity_count,unique_file_pcs,unique_files,sensitive_file_count,email_count,attachment_count,total_email_size,unique_email_pcs,external_email_count,http_request_count,unique_http_urls,off_hours_http,user,day
1,1,0,1,0,0,0,1,1,3,0,5,0,201528.0,1,0,42,30,0,USR0001,2010-01-04
1,2,0,1,0,0,0,4,1,4,0,20,1,39547.0,1,2,38,21,0,USR0001,2010-01-05
1,2,0,1,1,1,1,5,1,1,0,20,1,46788.0,1,2,50,22,0,USR0001,2010-01-06
1,2,1,1,1,1,1,6,1,5,2,22,2,119638.0,1,3,118,21,5,USR0001,2010-01-07
1,1,0,1,1,1,1,1,1,3,0,9,2,69226.0,1,3,71,31,0,USR0001,2010-01-08
2,2,0,1,0,0,0,6,1,6,1,14,1,79235.0,1,1,125,40,10,USR0001,2010-01-09
2,2,0,1,1,1,1,12,1,6,2,18,2,173560.0,1,2,59,38,0,USR0001,2010-01-10
1,2,0,1,0,0,0,10,1,6,2,18,0,176182.0,1,2,43,27,0,USR0001,2010-01-11
1,1,0,1,0,0,0,4,1,6,1,23,1,14656.0,1,3,84,27,10,USR0001,2010-01-12
1,1,1,1,1,1,1,5,1,5,0,22,0,107262.0,1,2,128,33,10,USR0001,2010-01-13
2,2,0,1,0,0,0,9,1,5,0,9,2,218340.0,1,2,147,35,0,USR0001,2010-01-14
1,1,0,1,0,0,0,7,1,5,0,17,1,133476.0,1,2,137,10,5,USR0001,2010-01-15
2,1,0,1,1,1,1,8,1,5,0,14,1,183147.0,1,2,96,7,0,USR0001,2010-01-16
2,1,1,1,0,0,0,11,1,7,2,15,1,92481.0,1,3,106,14,0,USR0001,2010-01-17
2,1,0,1,0,0,0,12,1,6,2,17,0,168213.0,1,0,99,17,0,USR0001,2010-01-18
2,2,0,1,0,0,0,6,1,3,0,8,0,183186.0,1,1,113,14,10,USR0001,2010-01-19
1,2,0,1,1,1,1,11,1,3,2,8,1,46506.0,1,1,103,36,0,USR0001,2010-01-20
1,2,1,1,0,0,0,5,1,3,0,7,0,186417.0,1,1,75,40,0,USR0001,2010-01-21
2,2,0,1,1,1,1,2,1,6,1,21,0,208460.0,1,2,151,15,5,USR0001,2010-01-22
2,2,0,1,0,0,0,5,1,2,0,10,1,101865.0,1,3,127,39,5,USR0001,2010-01-23
2,2,0,1,1,1,1,11,1,4,2,13,0,181424.0,1,1,34,28,0,USR0001,2010-01-24
1,2,0,1,0,0,0,8,1,4,0,14,1,73922.0,1,1,114,15,0,USR0001,2010-01-25
1,1,0,1,0,0,0,7,1,2,0,8,0,193482.0,1,0,122,11,0,USR0001,2010-01-26
1,1,0,1,1,1,1,10,1,4,2,10,0,172447.0,1,1,134,40,0,USR0001,2010-01-27
2,2,0,1,1,1,1,6,1,4,1,12,0,226504.0,1,1,57,34,5,USR0001,2010-01-28
2,2,1,1,0,0,0,6,1,3,2,16,1,101005.0,1,2,50,16,0,USR0001,2010-01-29
2,1,0,1,0,0,0,4,1,4,0,13,0,100606.0,1,1,36,36,5,USR0001,2010-01-30
1,2,0,1,0,0,0,5,1,3,1,14,0,106662.0,1,3,102,7,5,USR0001,2010-01-31
1,1,1,1,0,0,0,12,1,3,2,18,0,197606.0,1,1,80,10,10,USR0001,2010-02-01
1,2,0,1,0,0,0,4,1,5,0,6,1,125776.0,1,0,80,5,5,USR0001,2010-02-02
2,1,1,1,0,0,0,7,1,2,0,8,0,42272.0,1,3,31,8,10,USR0002,2010-01-04
2,1,0,1,0,0,0,4,1,6,1,10,0,206073.0,1,1,53,32,10,USR0002,2010-01-05
2,2,0,1,0,0,0,5,1,2,0,10,0,66977.0,1,2,41,39,0,USR0002,2010-01-06
1,1,1,1,0,0,0,5,1,2,0,8,1,51707.0,1,0,97,35,10,USR0002,2010-01-07
1,2,0,1,1,1,1,9,1,5,1,15,2,171664.0,1,1,127,31,10,USR0002,2010-01-08
2,2,0,1,1,1,1,2,1,5,0,14,0,206873.0,1,1,135,13,0,USR0002,2010-01-09
1,1,0,1,0,0,0,9,1,6,2,12,2,17106.0,1,1,105,13,10,USR0002,2010-01-10
1,2,0,1,1,1,1,5,1,4,2,14,0,27467.0,1,0,64,6,0,USR0002,2010-01-11
2,2,0,1,0,0,0,5,1,3,0,18,1,188045.0,1,2,27,22,0,USR0002,2010-01-12
1,1,0,1,1,1,1,3,1,3,2,9,1,135098.0,1,1,134,14,0,USR0002,2010-01-13
2,1,0,1,0,0,0,3,1,4,1,10,0,54655.0,1,1,57,15,5,USR0002,2010-01-14
1,1,0,1,0,0,0,10,1,6,1,18,1,198432.0,1,1,36,26,10,USR0002,2010-01-15
1,2,0,1,0,0,0,5,1,5,1,10,1,186998.0,1,0,99,22,0,USR0002,2010-01-16
2,2,0,1,0,0,0,6,1,4,2,22,0,77872.0,1,2,86,26,0,USR0002,2010-01-17
1,1,0,1,1,1,1,3,1,4,0,19,2,148886.0,1,3,127,18,5,USR0002,2010-01-18
1,2,1,1,0,0,0,9,1,3,0,17,2,200578.0,1,3,39,12,5,USR0002,2010-01-19
2,1,0,1,1,1,1,8,1,1,0,18,0,185072.0,1,1,36,35,5,USR0002,2010-01-20
2,2,0,1,0,0,0,7,1,4,0,15,2,16570.0,1,2,126,32,10,USR0002,2010-01-21
2,1,1,1,1,1,1,3,1,4,0,12,2,151278.0,1,0,36,14,0,USR0002,2010-01-22
2,2,1,1,1,1,1,10,1,3,0,12,0,11198.0,1,3,41,27,5,USR0002,2010-01-23
2,2,0,1,0,0,0,9,1,4,1,20,2,96099.0,1,0,20,28,0,USR0002,2010-01-24
2,1,0,1,1,1,1,7,1,7,2,10,2,212402.0,1,3,151,38,10,USR0002,2010-01-25
2,1,0,1,1,1,1,4,1,4,0,23,2,39543.0,1,3,119,7,10,USR0002,2010-01-26
2,1,0,1,0,0,0,2,1,3,0,12,2,82569.0,1,0,105,40,10,USR0002,2010-01-27
2,1,1,1,0,0,0,5,1,5,0,8,2,43081.0,1,0,149,15,5,USR0002,2010-01-28
1,1,0,1,0,0,0,1,1,1,0,21,2,28161.0,1,3,141,10,0,USR0002,2010-01-29
1,1,0,1,0,0,0,10,1,5,2,9,0,139304.0,1,2,22,14,0,USR0002,2010-01-30
1,1,0,1,1,1,1,6,1,6,2,16,1,244831.0,1,0,75,17,5,USR0002,2010-01-31
2,1,0,1,0,0,0,12,1,5,2,22,1,244896.0,1,2,53,30,5,USR0002,2010-02-01
