id,user,day,logon_count,logoff_count,off_hours_logons,unique_pcs,device_connects,device_disconnects,unique_device_pcs,file_activity_count,unique_file_pcs,unique_files,sensitive_file_count,email_count,attachment_count,total_email_size,unique_email_pcs,external_email_count,http_request_count,unique_http_urls,off_hours_http,prediction,prediction_probability,ml_risk_score,behavioral_risk_score,final_risk_score,severity
1,USR0001,2010-01-04,1,1,0,1,0,0,0,1,1,3,0,5,0,201528.0,1,0,42,30,0,0,0.0,0.0,0.0,0.0,Low
2,USR0001,2010-01-05,1,2,0,1,0,0,0,4,1,4,0,20,1,39547.0,1,2,38,21,0,0,0.25,25.0,16.0,21.4,Low
3,USR0001,2010-01-06,1,2,0,1,1,1,1,5,1,1,0,20,1,46788.0,1,2,50,22,0,0,0.45,45.0,31.0,39.4,Low
4,USR0001,2010-01-07,1,2,1,1,1,1,1,6,1,5,2,22,2,119638.0,1,3,118,21,5,1,1.0,100.0,100.0,100.0,Critical
5,USR0001,2010-01-08,1,1,0,1,1,1,1,1,1,3,0,9,2,69226.0,1,3,71,31,0,1,0.6,60.0,39.0,51.6,Medium
6,USR0001,2010-01-09,2,2,0,1,0,0,0,6,1,6,1,14,1,79235.0,1,1,125,40,10,1,1.0,100.0,100.0,100.0,Critical
7,USR0001,2010-01-10,2,2,0,1,1,1,1,12,1,6,2,18,2,173560.0,1,2,59,38,0,1,0.74,74.0,51.0,64.8,High
8,USR0001,2010-01-11,1,2,0,1,0,0,0,10,1,6,2,18,0,176182.0,1,2,43,27,0,0,0.44,44.0,36.0,40.8,Medium
9,USR0001,2010-01-12,1,1,0,1,0,0,0,4,1,6,1,23,1,14656.0,1,3,84,27,10,1,1.0,100.0,100.0,100.0,Critical
10,USR0001,2010-01-13,1,1,1,1,1,1,1,5,1,5,0,22,0,107262.0,1,2,128,33,10,1,1.0,100.0,100.0,100.0,Critical
11,USR0001,2010-01-14,2,2,0,1,0,0,0,9,1,5,0,9,2,218340.0,1,2,147,35,0,0,0.3,30.0,16.0,24.4,Low
12,USR0001,2010-01-15,1,1,0,1,0,0,0,7,1,5,0,17,1,133476.0,1,2,137,10,5,1,1.0,100.0,66.0,86.4,Critical
13,USR0001,2010-01-16,2,1,0,1,1,1,1,8,1,5,0,14,1,183147.0,1,2,96,7,0,0,0.45,45.0,31.0,39.4,Low
