Dataset,Column,Datatype
device,id,object
device,date,object
device,user,object
device,pc,object
device,activity,object
email,id,object
email,date,datetime64[us]
email,user,object
email,pc,object
email,to,object
email,cc,object
email,bcc,object
email,from,object
email,size,int64
email,attachments,int64
email,content,object
file,id,object
file,date,object
file,user,object
file,pc,object
file,filename,object
file,content,object
http,id,object
http,date,datetime64[us]
http,user,object
http,pc,object
http,url,object
http,content,object
logon,id,object
logon,date,object
logon,user,object
logon,pc,object
logon,activity,object
psychometric,employee_name,object
psychometric,user_id,object
psychometric,O,int64
psychometric,C,int64
psychometric,E,int64
psychometric,A,int64
psychometric,N,int64
