user,risk_level,weighted_score,Consensus_Percentage,Explanation
AJF0370,Critical,100.0,100.0,Detected consistently by nearly all anomaly detection models | High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Extremely high overall behavioral anomaly score
BAL0044,Critical,100.0,100.0,Detected consistently by nearly all anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Extremely high overall behavioral anomaly score
EIS0041,Critical,100.0,100.0,Detected consistently by nearly all anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Extremely high overall behavioral anomaly score
IBB0359,Critical,85.0,85.71,Detected by most anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Very high behavioral anomaly score
HDS0367,Critical,85.0,85.71,Detected by most anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Very high behavioral anomaly score
OBH0499,High,75.0,71.43,Detected by most anomaly detection models | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Very high behavioral anomaly score
BRM0995,High,70.0,71.43,Detected by most anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
HRL0540,High,70.0,71.43,Detected by most anomaly detection models | High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
DLM0051,High,65.0,57.14,Detected by multiple anomaly detection models | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
LBF0214,High,65.0,57.14,Detected by multiple anomaly detection models | High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
