Feature,Mean,Median,Minimum,Maximum,Standard Deviation,Variance,Coefficient of Variation
midnight_activity,39.935,0.0,0.0,2355.0,206.12982384720382,42489.504279279274,5.16163325021169
Elliptic Envelope_Score,33317.662045909834,20.25989774188509,4.079519132694156,1261057.9349745752,159635.44291499772,25483474634.667492,4.791315870094042
unique_pcs,24.271,1.0,1.0,720.0,109.51994419820153,11994.618177177175,4.512378731745768
weekend_activity,650.15,0.0,0.0,23119.0,2670.3553203716237,7130797.537037037,4.107291118006035
unique_files,445.581,0.0,0.0,11627.0,1461.9418063945927,2137273.8452842846,3.2809787813991007
file_events,445.581,0.0,0.0,11627.0,1461.9418063945927,2137273.8452842846,3.2809787813991007
device_events,405.38,0.0,0.0,8502.0,1234.481521216995,1523944.626226226,3.0452452543711948
Suspicious_Count,0.346,0.0,0.0,7.0,0.9182195419000443,0.8431271271271271,2.653813704913423
DBSCAN_Score,0.139,0.0,0.0,1.0,0.3461196307619647,0.1197987987987988,2.4900692860573
PCA_Score,0.03707534835823169,0.01463599383158105,0.0005531192639886,0.9682145399853368,0.09187143073510431,0.00844035978531507,2.4779654083737417
after_hours_activity,1134.071,225.0,0.0,15625.0,2187.0959120458083,4783388.528487487,1.9285352610602056
web_events,28434.423,32870.0,350.0,138000.0,20222.01291143543,408929806.1902613,0.7111807020467914
emails_sent,2629.979,3002.0,34.0,12034.0,1830.2940164754257,3349976.1867457456,0.6959348407251259
total_events,32770.222,36569.0,480.0,150994.0,22551.713281448145,508579771.9286446,0.6881770065960536
total_logins,854.859,692.0,58.0,3470.0,426.27148215133457,181707.37649549555,0.4986453697642939
earliest_hour,6.355,7.0,0.0,9.0,2.735042130471751,7.480455455455456,0.4303764170687256
unique_urls,182.69,173.0,41.0,415.0,72.7789026344082,5296.768668668669,0.3983737622990213
agreeableness,28.821,27.0,10.0,50.0,11.170843600496193,124.78774674674673,0.38759389335887695
extraversion,29.197,28.0,10.0,50.0,10.95647001708284,120.04423523523522,0.3752601300504449
conscientiousness,30.653,33.0,10.0,50.0,11.29150517376178,127.49808908908908,0.3683654185157009
KMeans_Score,3.475881661913236,3.13677996039451,1.1107930137374893,14.053861469970808,1.2581911539326383,1.5830449798343436,0.36197755744080473
openness,33.173,36.0,10.0,50.0,10.642007485588579,113.25232332332335,0.32080328838478817
unique_sources,3.529,3.0,3.0,5.0,0.8820073338339862,0.7779369369369369,0.2499312365638952
active_days,330.452,346.0,25.0,495.0,69.15775076222832,4782.794490490491,0.20928228838750657
neuroticism,29.608,29.0,14.0,49.0,4.938494175831812,24.388724724724725,0.16679593947013685
Isolation Forest_Score,0.43673907724962474,0.41453345888449594,0.3637129021477804,0.717708366939492,0.05902053863729069,0.0034834239810359233,0.13513912931486233
latest_hour,18.401,18.0,15.0,23.0,2.31463961699366,5.357556556556557,0.12578879501079615
LOF_Score,1.0835553320228017,1.0398592177370818,0.9551446851014882,2.153406459090189,0.1260725012453132,0.015894275570249496,0.11635077371633495
average_hour,12.394690913831873,12.281456511492568,10.697788227574705,14.840921415092293,0.8803780953342039,0.7750655907442805,0.07102864455875577
One-Class SVM_Score,-1.4296833474313084,-1.4317362565324712,-2.000114311081951,-1.051679118500412,0.2085716945483542,0.04350215176677197,-0.14588663631222396
