,count,mean,std,min,25%,50%,75%,max
total_events,1000.0,32770.222,22551.713281448145,480.0,11730.0,36569.0,45819.25,150994.0
active_days,1000.0,330.452,69.15775076222832,25.0,346.0,346.0,346.0,495.0
unique_pcs,1000.0,24.271,109.51994419820153,1.0,1.0,1.0,2.0,720.0
unique_sources,1000.0,3.529,0.8820073338339862,3.0,3.0,3.0,5.0,5.0
total_logins,1000.0,854.859,426.27148215133457,58.0,692.0,692.0,968.0,3470.0
midnight_activity,1000.0,39.935,206.12982384720382,0.0,0.0,0.0,0.0,2355.0
after_hours_activity,1000.0,1134.071,2187.0959120458083,0.0,0.0,225.0,897.0,15625.0
weekend_activity,1000.0,650.15,2670.3553203716233,0.0,0.0,0.0,0.0,23119.0
device_events,1000.0,405.38,1234.481521216995,0.0,0.0,0.0,14.0,8502.0
file_events,1000.0,445.581,1461.9418063945927,0.0,0.0,0.0,10.25,11627.0
unique_files,1000.0,445.581,1461.9418063945927,0.0,0.0,0.0,10.25,11627.0
emails_sent,1000.0,2629.979,1830.2940164754257,34.0,1001.0,3002.0,3693.25,12034.0
web_events,1000.0,28434.423,20222.01291143543,350.0,10034.0,32870.0,39444.0,138000.0
unique_urls,1000.0,182.69,72.7789026344082,41.0,125.0,173.0,228.0,415.0
average_hour,1000.0,12.394690913831873,0.8803780953342039,10.697788227574705,11.768838516266015,12.281456511492568,13.013215428989037,14.840921415092293
earliest_hour,1000.0,6.355,2.735042130471751,0.0,7.0,7.0,8.0,9.0
latest_hour,1000.0,18.401,2.31463961699366,15.0,17.0,18.0,19.0,23.0
openness,1000.0,33.173,10.642007485588579,10.0,23.0,36.0,42.0,50.0
conscientiousness,1000.0,30.653,11.291505173761783,10.0,20.0,33.0,40.0,50.0
extraversion,1000.0,29.197,10.956470017082841,10.0,19.0,28.0,39.0,50.0
agreeableness,1000.0,28.821,11.170843600496193,10.0,19.0,27.0,39.0,50.0
neuroticism,1000.0,29.608,4.938494175831812,14.0,26.0,29.0,33.0,49.0
risk_score,1000.0,0.43673907724962474,0.05902053863729069,0.3637129021477804,0.39323015875945605,0.414533458884496,0.46725151455617064,0.717708366939492
