user,total_events,active_days,unique_pcs,unique_sources,first_activity,last_activity,total_logins,midnight_activity,after_hours_activity,weekend_activity,device_events,file_events,unique_files,emails_sent,web_events,unique_urls,average_hour,earliest_hour,latest_hour,openness,conscientiousness,extraversion,agreeableness,neuroticism,risk_score,prediction
AJF0370,69194,373,661,5,2010-01-04 06:11:41,2011-05-16 20:46:36,3267,2355,3056,3205,8502,11053,11053,3927,42445,360,11.834479868196665,0,23,37,33,11,15,36,0.717708366939492,Suspicious
DLM0051,109986,436,3,5,2010-01-03 06:50:00,2011-05-16 15:57:00,1367,0,0,22258,7533,10673,10673,7573,82840,285,10.996845053006746,6,16,37,37,17,20,35,0.6723132499644066,Suspicious
IBB0359,57212,349,604,5,2010-01-04 08:15:00,2011-05-16 23:23:35,3086,2055,3281,4,7852,3199,3199,3631,39444,278,11.889411312312102,0,23,48,33,21,43,38,0.6647537166035111,Suspicious
EIS0041,51929,346,622,5,2010-01-04 02:24:32,2011-05-16 22:28:35,3052,2256,2760,0,2644,3676,3676,3287,39270,363,11.14048027113944,0,23,41,44,17,48,30,0.6585188447771002,Suspicious
HSB0196,82313,475,1,5,2010-01-02 08:05:00,2011-05-16 18:06:00,988,20,3410,20955,7595,11627,11627,5103,57000,142,12.819554626851165,0,23,44,13,43,30,33,0.6571391567226114,Suspicious
BAL0044,53379,348,628,5,2010-01-04 05:06:15,2011-05-16 18:43:08,3146,2182,2993,4,2258,2900,2900,3696,41379,278,11.204181419659417,0,23,14,41,26,44,30,0.6551402382026843,Suspicious
HDS0367,52209,346,630,5,2010-01-04 08:06:00,2011-05-16 16:14:00,3035,2272,2737,0,2722,3406,3406,3626,39420,285,11.748204332586337,0,23,50,42,16,30,19,0.6511162092869529,Suspicious
MPM0220,40530,218,456,5,2010-01-04 03:15:35,2010-11-05 21:48:55,2005,1445,2301,3,4978,6689,6689,2307,24551,214,11.221638292622748,0,23,35,20,42,22,20,0.6497573494522955,Suspicious
BSS0369,40552,239,504,5,2010-01-03 00:56:15,2010-10-04 04:18:44,1924,1357,1770,7546,5472,2295,2295,2300,28561,185,11.808616097849674,0,23,39,42,34,14,32,0.6314112853493467,Suspicious
WPR0368,56537,427,720,3,2010-01-02 08:13:00,2011-05-16 21:45:28,3470,879,981,10248,0,0,0,4534,48533,241,11.708509471673418,0,23,48,34,40,17,31,0.6211230829485433,Suspicious
HPH0075,96948,404,1,5,2010-01-02 07:50:00,2011-05-16 17:00:00,1125,0,0,13913,6345,9323,9323,7435,72720,238,12.053121260882122,7,17,40,42,48,25,28,0.6175171370345447,Suspicious
LBH0942,66899,453,1,5,2010-01-03 07:13:00,2011-05-16 16:15:00,1272,0,0,15422,7785,10889,10889,3918,43035,167,11.334907846156145,7,16,40,42,23,30,29,0.6139225715389128,Suspicious
ATE0869,84092,486,4,5,2010-01-02 07:33:00,2011-05-16 17:53:00,1427,11,138,23119,419,522,522,7519,74205,304,12.281108785615753,0,23,13,15,40,44,33,0.6120664042908944,Suspicious
BJM0111,26300,385,1,5,2010-01-04 09:06:00,2011-05-17 06:43:35,884,75,1451,1169,5821,7841,7841,1082,10672,109,13.279847908745246,0,23,22,24,39,41,19,0.6033910819063492,Suspicious
AVM0947,17886,346,30,5,2010-01-04 07:00:00,2011-05-16 16:19:00,750,0,0,0,5984,7701,7701,337,3114,53,11.276025942077602,7,16,10,25,30,44,39,0.6015853502382289,Suspicious
OBH0499,85509,435,2,5,2010-01-03 08:03:00,2011-05-16 17:09:00,1469,36,466,16058,7395,594,594,6229,69822,239,12.332105392414833,0,23,35,18,41,16,34,0.598447373931105,Suspicious
THR0873,78583,347,2,5,2010-01-04 07:44:00,2011-05-16 17:45:00,740,13,445,2,5466,8525,8525,5032,58820,293,12.314279169794993,0,23,37,44,21,40,38,0.594757512523466,Suspicious
LBC0356,46193,346,636,3,2010-01-04 01:37:22,2011-05-16 16:10:00,3053,710,822,0,0,0,0,3696,39444,350,11.846167168185655,0,23,40,30,40,21,41,0.5940397976828586,Suspicious
BMG0917,52291,349,1,5,2010-01-04 08:21:00,2011-05-16 19:27:00,1005,21,8412,6,5955,7692,7692,3039,34600,140,13.54271289514448,1,23,43,36,41,23,34,0.5907293556358953,Suspicious
NAF0326,86990,458,48,5,2010-01-03 07:41:00,2011-05-16 15:37:00,1599,0,0,19365,1790,2446,2446,7121,74034,81,11.275755834003908,7,16,33,15,25,20,30,0.5875989346713656,Suspicious
MOH0273,57961,401,1,5,2010-01-02 07:00:00,2011-05-16 17:15:00,802,0,0,7662,6295,9306,9306,3463,38095,166,11.788271423888476,7,17,39,40,47,50,26,0.5867292303235816,Suspicious
LBF0214,78385,462,2,5,2010-01-03 07:33:00,2011-05-16 15:51:00,1673,85,1690,17750,941,1236,1236,6135,68400,178,11.437149964916758,0,23,18,44,18,38,28,0.5866979966876517,Suspicious
MOS0047,27028,176,416,5,2010-01-04 00:18:05,2010-09-10 19:40:48,1651,1047,1539,0,1774,1593,1593,1892,20118,174,11.222287997632085,0,23,49,39,24,34,23,0.5859614478378093,Suspicious
JCC0225,45866,346,639,3,2010-01-04 06:28:21,2011-05-16 22:35:48,2750,659,857,0,0,0,0,3708,39408,204,11.080844198316836,0,23,47,45,40,15,18,0.5853351709847224,Suspicious
CLB0774,25094,357,1,5,2010-01-04 08:17:00,2011-05-16 16:37:00,848,74,638,17,5966,7246,7246,1000,10034,230,12.1674105363832,0,23,49,23,22,17,31,0.5823327612770148,Suspicious
CCA0046,29698,201,447,5,2010-01-04 05:57:35,2010-10-15 22:52:13,1608,1223,1599,0,1511,1678,1678,2157,22744,113,11.142804229241026,0,23,36,43,25,15,28,0.5819446809384815,Suspicious
UIR0043,45955,346,631,3,2010-01-04 00:39:45,2011-05-16 22:30:38,2860,703,933,0,0,0,0,3720,39375,303,11.043781960613643,0,23,19,37,23,38,32,0.5813594075680448,Suspicious
DMG0358,46153,346,633,3,2010-01-04 05:39:40,2011-05-16 18:25:02,3038,735,873,0,0,0,0,3691,39424,307,11.81013151907785,0,23,19,39,14,25,29,0.5802478883368555,Suspicious
GTD0219,17922,118,306,5,2010-01-04 03:37:16,2010-06-18 21:03:36,980,804,1009,0,957,1281,1281,1262,13442,269,11.147249190938512,0,23,40,40,19,30,33,0.5793546296495188,Suspicious
WIF0691,52307,346,2,5,2010-01-04 08:58:00,2011-05-16 18:57:00,972,0,6791,0,5455,8267,8267,3013,34600,388,13.553979390903702,8,19,33,39,37,30,24,0.5791136407500268,Suspicious
HRL0540,46103,346,2,5,2010-01-04 09:02:00,2011-05-16 21:14:00,1014,0,13813,0,5924,1777,1777,2988,34400,190,14.840921415092293,9,21,43,38,17,40,18,0.5790635689426624,Normal
QNP0216,45763,346,639,3,2010-01-04 00:33:45,2011-05-16 23:49:58,2814,694,897,0,0,0,0,3710,39239,254,11.059939252234338,0,23,19,35,39,26,34,0.578725504974678,Normal
MSO0222,31537,239,490,5,2010-01-04 06:13:28,2010-12-10 20:22:04,1900,500,635,0,4,1,1,2546,27086,158,11.021244886958176,0,23,32,12,39,46,28,0.5774785969036801,Normal
CBB0365,46390,346,634,3,2010-01-04 00:58:37,2011-05-16 22:15:16,3256,760,838,0,0,0,0,3690,39444,88,11.74466479844794,0,23,37,17,20,41,33,0.5768858962218458,Normal
JAV0361,45804,346,625,3,2010-01-04 01:25:06,2011-05-16 19:10:18,2768,742,861,0,0,0,0,3659,39377,245,11.778687450877653,0,23,36,45,40,45,33,0.5761177336121615,Normal
SAK0375,45921,346,629,3,2010-01-04 03:30:53,2011-05-16 20:34:43,2828,650,953,0,0,0,0,3649,39444,307,11.800853639946865,0,23,16,20,27,16,31,0.5744921851527076,Normal
MSH0040,33781,255,540,3,2010-01-04 03:53:40,2011-01-06 21:27:45,2100,571,637,0,0,0,0,2711,28970,250,11.057428732127528,0,23,41,11,44,27,31,0.5723197981363234,Normal
SAA0999,49580,346,2,5,2010-01-04 08:05:00,2011-05-16 19:23:00,985,0,6871,0,5971,8468,8468,3016,31140,237,13.356171843485276,8,19,20,17,34,11,36,0.5716240938905981,Normal
ATP0662,61744,386,2,5,2010-01-04 08:51:00,2011-05-16 19:00:00,1245,67,8981,3317,784,1273,1273,5103,53339,250,13.657812904897641,0,23,17,16,41,20,39,0.5706747229423454,Normal
BRM0995,45181,346,4,5,2010-01-04 09:10:00,2011-05-16 21:17:00,1015,0,13239,0,5932,590,590,3044,34600,201,14.771076337398464,9,21,20,11,32,26,40,0.5701065639199541,Normal
BAJ0654,14994,346,42,5,2010-01-04 09:15:00,2011-05-16 21:12:00,776,0,4242,0,279,2919,2919,986,10034,66,14.710817660397492,9,21,36,10,47,10,41,0.5697765685037359,Normal
JRS0362,45909,346,636,3,2010-01-04 00:35:45,2011-05-16 20:58:38,2776,703,865,0,0,0,0,3689,39444,156,11.732165806268924,0,23,50,50,14,37,24,0.5695625916057572,Normal
KRV0372,45975,346,630,3,2010-01-04 01:34:29,2011-05-16 19:34:31,2820,731,903,0,0,0,0,3711,39444,349,11.791495377922784,0,23,40,39,25,35,32,0.5691258177998986,Normal
DFR0218,45793,346,614,3,2010-01-04 05:44:26,2011-05-16 19:37:05,2714,626,889,0,0,0,0,3725,39354,244,11.042866813705151,0,23,45,14,22,37,27,0.5686593598648776,Normal
ZKS0899,26266,346,2,5,2010-01-04 09:12:00,2011-05-16 18:07:00,770,0,1153,0,5968,8537,8537,1015,9976,142,13.285616386202696,9,18,47,20,42,43,30,0.5681293380158865,Normal
QRM0739,76545,346,3,5,2010-01-04 07:48:00,2011-05-16 17:12:00,730,0,0,0,5962,8401,8401,5400,56052,82,11.974485596707819,7,17,33,11,26,29,30,0.5679934689733029,Normal
JDC0030,61959,477,3,5,2010-01-02 08:15:00,2011-05-16 19:39:00,1406,0,10115,16641,380,724,724,5071,54378,365,13.468019173969884,8,19,31,18,19,21,26,0.5676313437848357,Normal
BJP0134,18776,346,6,5,2010-01-04 08:55:00,2011-05-16 18:01:00,966,0,277,0,5940,8072,8072,338,3460,114,13.036216446527481,8,18,42,17,44,21,39,0.567165030423649,Normal
CAS0507,19258,347,3,5,2010-01-04 08:58:00,2011-05-16 17:02:00,1201,9,71,1,759,6290,6290,1003,10005,306,12.545072177796241,0,23,14,46,33,11,25,0.5669722508794098,Normal
MNS0224,45818,346,659,3,2010-01-04 07:29:00,2011-05-16 15:29:00,2826,755,855,0,0,0,0,3688,39304,245,11.013531799729364,0,23,46,21,22,45,30,0.5667416467869342,Normal
JDB0169,74930,346,1,5,2010-01-04 07:39:00,2011-05-16 15:32:00,966,0,0,0,5464,7791,7791,4657,56052,238,11.254370746029627,7,16,20,14,23,48,33,0.5658219866397234,Normal
VIA0063,68883,346,1,5,2010-01-04 07:46:00,2011-05-16 17:57:00,692,0,762,0,5488,8524,8524,4701,49478,246,12.47706981403249,7,18,40,34,19,50,33,0.565662519700701,Normal
HCS0003,113450,346,1,5,2010-01-04 08:20:00,2011-05-16 17:30:00,692,0,0,0,2006,3045,3045,9097,98610,415,12.531732040546496,8,17,35,28,14,15,30,0.5638392221375976,Normal
ACC0042,45736,346,618,3,2010-01-04 02:52:25,2011-05-16 21:39:17,2724,697,844,0,0,0,0,3676,39336,238,11.043117019415778,0,23,23,19,37,20,31,0.5637823584607258,Normal
JLM0364,44335,335,598,5,2010-01-04 05:22:30,2011-04-29 22:45:15,2628,711,878,0,4,1,1,3537,38165,194,11.7550693582948,0,23,35,22,15,25,37,0.5628492630750802,Normal
HRB0351,83589,383,38,5,2010-01-04 07:57:00,2011-05-16 18:12:00,1143,0,967,7152,264,2662,2662,6750,72770,116,12.454306188613334,7,18,19,12,43,42,36,0.5618133480820315,Normal
KCF0045,45643,346,640,3,2010-01-04 01:57:54,2011-05-16 15:36:00,2780,745,815,0,0,0,0,3654,39209,138,11.016388055123459,0,23,40,39,16,27,31,0.5612495286157022,Normal
BKW0374,45716,346,620,3,2010-01-04 08:04:00,2011-05-16 22:02:50,2716,719,792,0,0,0,0,3612,39388,166,11.695773908478433,0,23,41,38,17,46,27,0.5611922697561201,Normal
TSM0363,45823,346,624,3,2010-01-04 00:33:17,2011-05-16 20:00:22,2794,740,885,0,0,0,0,3629,39400,142,11.74194181961024,0,23,34,19,20,39,33,0.5609073477327202,Normal
RZC0746,86106,480,10,3,2010-01-02 07:52:00,2011-05-16 17:03:00,1453,0,0,22207,0,0,0,6893,77760,213,12.053259935428425,7,17,15,38,33,43,26,0.5602063024353464,Normal
HAD0246,54002,494,2,5,2010-01-02 07:46:00,2011-05-16 16:58:00,1703,99,1012,15366,424,315,315,4820,46740,124,12.193622458427466,0,23,44,39,32,45,38,0.5597886751085254,Normal
KCO0122,40061,355,2,5,2010-01-04 09:02:00,2011-05-16 21:25:00,1161,75,11939,14,1404,1593,1593,3033,32870,286,14.782931030178977,0,23,30,32,26,38,33,0.559010591804297,Normal
NWK0215,70395,450,1,3,2010-01-02 07:33:00,2011-05-16 15:45:00,1356,56,1443,15053,0,0,0,5547,63492,269,11.485560053981107,0,23,21,19,45,18,24,0.5589037447021145,Normal
WDD0366,40752,308,570,5,2010-01-04 08:12:00,2011-03-22 16:24:00,2669,617,864,0,12,6,6,3215,34850,231,11.808181193561053,0,23,43,42,17,19,28,0.5556967432545005,Normal
MDM0625,76122,346,2,5,2010-01-04 07:52:00,2011-05-16 17:00:00,1093,0,0,0,5452,8346,8346,5341,55890,153,12.014503034602349,7,17,18,42,36,27,24,0.5545197750421607,Normal
HDD0806,50411,472,26,3,2010-01-02 08:18:00,2011-05-16 20:31:00,1428,0,11901,12593,0,0,0,4143,44840,223,14.032096169486818,8,20,47,28,36,19,38,0.554068031205544,Normal
JGT0221,18067,137,368,5,2010-01-04 00:04:43,2010-07-16 23:23:46,1172,308,447,0,4,1,1,1452,15438,255,11.159738750207561,0,23,45,30,16,40,18,0.553980756906928,Normal
KJP0371,45891,346,635,3,2010-01-04 08:01:00,2011-05-16 23:44:00,2788,733,875,0,0,0,0,3700,39403,202,11.77801747619359,0,23,36,21,25,15,30,0.5528967234153986,Normal
HCM0267,48975,346,1,5,2010-01-04 07:25:00,2011-05-16 15:28:00,692,0,0,0,5955,8167,8167,3021,31140,136,11.02913731495661,7,15,36,45,39,20,32,0.5527202229172345,Normal
BBS0039,20888,157,385,5,2010-01-04 07:15:00,2010-08-13 21:30:41,1326,367,495,0,4,1,1,1679,17878,234,11.046773266947529,0,23,44,37,34,21,40,0.5525467638379743,Normal
