id,date,user,pc,activity
{00000001CCD4-0AA0B582},2010-01-04 07:02:50,KYR0991,PC-0061,Connect
{00000001D579-2228088C},2010-01-04 07:06:17,USS4618,PC-0121,Connect
{00000001C368-05C899FF},2010-01-04 07:09:17,ADG1145,PC-0001,Connect
{00000001EB7A-2C6CEDE3},2010-01-04 07:26:17,USS4618,PC-0121,Disconnect
{00000001D16E-1F614762},2010-01-04 07:28:32,QSC3123,PC-0100,Connect
{00000001D969-37579F27},2010-01-04 07:34:17,ADG1145,PC-0001,Disconnect
{00000001E76F-0641D06C},2010-01-04 07:35:32,QSC3123,PC-0100,Disconnect
{00000001D72F-115FB142},2010-01-04 07:55:29,XGF2493,PC-0139,Connect
{00000001D16D-29B6E39B},2010-01-04 07:58:57,QSC3123,PC-0100,Connect
{00000001D0EE-361F29FA},2010-01-04 08:01:32,OQO5535,PC-0090,Connect
{00000001C908-275CA451},2010-01-04 08:05:33,HVG7968,PC-0044,Connect
{00000001D203-00E6125B},2010-01-04 08:14:40,RUT1946,PC-0104,Connect
{00000001C764-20A9A1DD},2010-01-04 08:16:43,EHP1536,PC-0027,Connect
{00000001E2D5-0129F3E8},2010-01-04 08:23:50,KYR0991,PC-0061,Disconnect
{00000001E76E-25D0BF01},2010-01-04 08:25:57,QSC3123,PC-0100,Disconnect
{00000001E804-2E622F49},2010-01-04 08:27:40,RUT1946,PC-0104,Disconnect
{00000001E6EF-29E7F07B},2010-01-04 08:31:32,OQO5535,PC-0090,Disconnect
{00000001DD65-08703E5F},2010-01-04 08:51:43,EHP1536,PC-0027,Disconnect
{00000001C730-13EAE4C3},2010-01-04 09:11:00,DNM3159,PC-0019,Connect
{00000001ED30-023D60A5},2010-01-04 09:14:29,XGF2493,PC-0139,Disconnect
{00000001DF09-378E04BC},2010-01-04 09:15:33,HVG7968,PC-0044,Disconnect
{00000001D83B-08960CC5},2010-01-04 09:18:57,YLE8326,PC-0147,Connect
{00000001C50A-395BE9DE},2010-01-04 09:23:26,CQZ8674,PC-0013,Connect
{00000001EE3C-22319469},2010-01-04 09:36:57,YLE8326,PC-0147,Disconnect
{00000001D52C-3A6688C4},2010-01-04 09:50:13,UQK8227,PC-0120,Connect
{00000001EB2D-2B35C686},2010-01-04 10:08:13,UQK8227,PC-0120,Disconnect
{00000001C41B-0D19EE32},2010-01-04 10:09:19,AYY2409,PC-0005,Connect
{00000001C508-157DD3DA},2010-01-04 10:10:23,CQZ8674,PC-0013,Connect
{00000001DD31-2E8A5B98},2010-01-04 10:31:00,DNM3159,PC-0019,Disconnect
{00000001CEC3-38ADB5D7},2010-01-04 10:32:47,NRI9556,PC-0082,Connect
{00000001DB0B-1DCE3701},2010-01-04 10:39:26,CQZ8674,PC-0013,Disconnect
{00000001DA1C-03441797},2010-01-04 10:50:19,AYY2409,PC-0005,Disconnect
{00000001DB09-189E284E},2010-01-04 11:30:23,CQZ8674,PC-0013,Disconnect
{00000001C9D6-14EDDB13},2010-01-04 11:31:40,IAC0900,PC-0045,Connect
{00000001E4C4-081581F3},2010-01-04 11:42:47,NRI9556,PC-0082,Disconnect
{00000001D202-3273BE68},2010-01-04 11:57:38,RUT1946,PC-0104,Connect
{00000001C8D7-3452DB5A},2010-01-04 12:20:52,GUG7168,PC-0037,Connect
{00000001DFD7-09F28243},2010-01-04 12:37:40,IAC0900,PC-0045,Disconnect
{00000001DED8-34FF0767},2010-01-04 12:46:52,GUG7168,PC-0037,Disconnect
{00000001E803-2E8CBE87},2010-01-04 13:07:38,RUT1946,PC-0104,Disconnect
{00000001CA5F-36B26707},2010-01-04 13:08:00,IVL8082,PC-0051,Connect
{00000001CE11-0C7A172F},2010-01-04 13:22:58,MGI5307,PC-0072,Connect
{00000001CE60-2BD713F6},2010-01-04 13:33:00,NBM1814,PC-0077,Connect
{00000001D72E-3D9E3A29},2010-01-04 13:37:43,XGF2493,PC-0139,Connect
{00000001ED2F-0ED86C93},2010-01-04 13:43:43,XGF2493,PC-0139,Disconnect
{00000001E060-01CC85C8},2010-01-04 14:13:00,IVL8082,PC-0051,Disconnect
{00000001E412-17887A1D},2010-01-04 14:29:58,MGI5307,PC-0072,Disconnect
{00000001E461-3EBAC5C6},2010-01-04 14:48:00,NBM1814,PC-0077,Disconnect
{00000001D62A-39000046},2010-01-04 14:49:07,VNI5142,PC-0129,Connect
{00000001D4CE-3621FB35},2010-01-04 15:04:26,UKR6395,PC-0118,Connect
{00000001CC04-11B6C424},2010-01-04 15:07:21,KIX3704,PC-0058,Connect
{00000001EC2B-2D69DF08},2010-01-04 15:25:07,VNI5142,PC-0129,Disconnect
{00000001CD9D-0F9EA50A},2010-01-04 15:55:03,LYE5717,PC-0069,Connect
{00000001C509-15B3F85F},2010-01-04 16:01:24,CQZ8674,PC-0013,Connect
{00000001D5D5-18D388DC},2010-01-04 16:01:33,UUU6648,PC-0122,Connect
{00000001EACF-2A4029DC},2010-01-04 16:15:26,UKR6395,PC-0118,Disconnect
{00000001CAAD-1D860D4D},2010-01-04 16:19:35,JDE8246,PC-0052,Connect
{00000001C641-2C6C0935},2010-01-04 16:23:46,DHG6594,PC-0016,Connect
{00000001DB0A-239D3436},2010-01-04 16:24:24,CQZ8674,PC-0013,Disconnect
