id,date,user,pc,filename,content
{000000026A92-38156990},2010-01-04 07:00:02,NRU3936,PC-0083,3C0233.jpg,D0-CF-11-E0
{000000026F8D-0BB21C73},2010-01-04 07:01:22,OMU2669,PC-0089,03F706.zip,D0-CF-11-E0
{000000026C07-0F5D7482},2010-01-04 07:03:57,ODH5540,PC-0084,8F5062.txt,D0-CF-11-E0
{000000025A58-3955E6DC},2010-01-04 07:10:58,MAP5551,PC-0070,9420A9.png,D0-CF-11-E0
{000000029E92-1E977B80},2010-01-04 07:11:56,VDL1237,PC-0125,3DF42F.jpg,D0-CF-11-E0
{000000023B91-3E640C18},2010-01-04 07:12:29,JMM0438,PC-0053,443383.jpg,D0-CF-11-E0
{000000026FC8-05B3A440},2010-01-04 07:15:03,OQO5535,PC-0090,DE5E35.png,D0-CF-11-E0
{0000000213D4-28E13B82},2010-01-04 07:16:18,DQV1058,PC-0023,95FF6D.png,D0-CF-11-E0
{00000002BC4F-243F528A},2010-01-04 07:16:34,ZDH5063,PC-0150,F0DC49.zip,D0-CF-11-E0
{00000001FCAA-1EB22517},2010-01-04 07:20:15,COX0638,PC-0012,AC3CAB.jpg,D0-CF-11-E0
{000000024F5F-2BFC1A6D},2010-01-04 07:20:45,KVI1669,PC-0060,0AC5AC.png,D0-CF-11-E0
{000000023B9A-310A17EE},2010-01-04 07:20:58,JMM0438,PC-0053,82B79F.jpg,D0-CF-11-E0
{000000023101-22E4C53D},2010-01-04 07:23:28,ICR6722,PC-0047,DB1E16.doc,D0-CF-11-E0
{000000027FC9-1F6E8D0D},2010-01-04 07:23:35,QUT1345,PC-0101,D6EC56.doc,D0-CF-11-E0
{000000027856-19CA1C21},2010-01-04 07:24:53,QCT4158,PC-0097,1E1DCC.zip,D0-CF-11-E0
{000000021511-34771EE4},2010-01-04 07:25:55,DXC7486,PC-0024,8A050D.pdf,D0-CF-11-E0
{00000002B250-37CEF079},2010-01-04 07:26:13,XGF2493,PC-0139,9A2B5E.txt,D0-CF-11-E0
{000000023B94-14DCA8BD},2010-01-04 07:26:36,JMM0438,PC-0053,28524A.doc,D0-CF-11-E0
{000000021932-232FFDA5},2010-01-04 07:30:38,EYT8043,PC-0030,EEAF74.txt,D0-CF-11-E0
{000000020F2F-39805B52},2010-01-04 07:31:59,DPC6498,PC-0022,54518B.zip,D0-CF-11-E0
{00000002AD3F-2309D994},2010-01-04 07:33:04,WVH6316,PC-0137,27E9A6.jpg,D0-CF-11-E0
{000000029116-2907D683},2010-01-04 07:34:00,UBE4939,PC-0116,42A49D.doc,D0-CF-11-E0
{000000026285-2FED6830},2010-01-04 07:34:54,NDV4503,PC-0078,665C6D.zip,D0-CF-11-E0
{000000020D4B-15BC5C30},2010-01-04 07:36:14,DON7838,PC-0020,6500CA.txt,D0-CF-11-E0
{000000024BBB-1150C42B},2010-01-04 07:36:33,KJX0944,PC-0059,CA7D07.doc,D0-CF-11-E0
{0000000280B6-1B9FF6E9},2010-01-04 07:37:53,RUT1946,PC-0104,AB3F1E.png,D0-CF-11-E0
{00000002C05A-08B2AA66},2010-01-04 07:45:00,ZFG0374,PC-0151,65EF2D.txt,D0-CF-11-E0
{00000001F9EF-1696B8D7},2010-01-04 07:48:19,BZL8931,PC-0009,4667CF.png,D0-CF-11-E0
{000000024303-16F81057},2010-01-04 07:48:35,JPS8745,PC-0054,76D3E6.zip,D0-CF-11-E0
{000000023B92-228D30E3},2010-01-04 07:48:55,JMM0438,PC-0053,EF44E8.png,D0-CF-11-E0
{00000002250E-324A917A},2010-01-04 07:49:05,GZI8020,PC-0038,0CC4B2.doc,D0-CF-11-E0
{00000002572E-2DEA4FCB},2010-01-04 07:49:22,LMQ7847,PC-0066,4E0EB4.pdf,D0-CF-11-E0
{000000026284-27AFC310},2010-01-04 07:53:45,NDV4503,PC-0078,31D7D7.pdf,D0-CF-11-E0
{000000026F64-31DF02B7},2010-01-04 07:53:56,OLN5687,PC-0088,69C794.zip,D0-CF-11-E0
{000000028510-0AAABF76},2010-01-04 07:58:44,SDT4191,PC-0106,17E798.doc,D0-CF-11-E0
{000000029C12-25F9B31E},2010-01-04 07:59:10,VBW2813,PC-0124,C01026.png,D0-CF-11-E0
{000000029949-0E2F14FE},2010-01-04 07:59:46,UUU6648,PC-0122,D75BA1.zip,D0-CF-11-E0
{000000022644-357CC797},2010-01-04 08:01:56,HBA3736,PC-0039,11A06B.png,D0-CF-11-E0
{000000028C40-20ECB425},2010-01-04 08:03:36,TPH4125,PC-0110,48324F.doc,D0-CF-11-E0
{000000022643-23D1E88F},2010-01-04 08:05:47,HBA3736,PC-0039,0C7F1E.txt,D0-CF-11-E0
{000000026286-320A14CF},2010-01-04 08:08:04,NDV4503,PC-0078,6148E6.zip,D0-CF-11-E0
{000000021933-019CF720},2010-01-04 08:08:40,EYT8043,PC-0030,3634D9.pdf,D0-CF-11-E0
{000000020F32-39945FCA},2010-01-04 08:10:44,DPC6498,PC-0022,1E4295.png,D0-CF-11-E0
{00000002C058-2D150193},2010-01-04 08:11:20,ZFG0374,PC-0151,EC447C.pdf,D0-CF-11-E0
{00000002B5F1-08E941AA},2010-01-04 08:14:45,YDM6963,PC-0145,913948.pdf,D0-CF-11-E0
{00000002A1D5-3DD62260},2010-01-04 08:15:03,VKX2883,PC-0128,2807ED.jpg,D0-CF-11-E0
{000000029113-3F85201D},2010-01-04 08:15:55,UBE4939,PC-0116,C45742.jpg,D0-CF-11-E0
{0000000253C0-3B06D54D},2010-01-04 08:16:34,LJE6857,PC-0064,0DA580.jpg,D0-CF-11-E0
{00000002730B-0FF77B7E},2010-01-04 08:17:07,PAJ4367,PC-0092,FBA684.pdf,D0-CF-11-E0
{00000002850E-1034DA96},2010-01-04 08:17:17,SDT4191,PC-0106,E7FF83.zip,D0-CF-11-E0
{00000002C3C8-22830635},2010-01-04 08:17:32,ZHD4885,PC-0153,438F73.zip,D0-CF-11-E0
{000000021928-2F77DD6D},2010-01-04 08:18:17,EYT8043,PC-0030,6510AD.doc,D0-CF-11-E0
{000000027568-2587E2F1},2010-01-04 08:20:20,PJY0876,PC-0094,88CCFA.txt,D0-CF-11-E0
{0000000218FA-19C07FDD},2010-01-04 08:22:17,ETS3545,PC-0029,93C5E3.pdf,D0-CF-11-E0
{00000002192A-10E270B6},2010-01-04 08:22:29,EYT8043,PC-0030,65747D.doc,D0-CF-11-E0
{0000000293AA-2D50E258},2010-01-04 08:23:26,UEH9251,PC-0117,9ED7F1.jpg,D0-CF-11-E0
{000000028C42-3C4C516E},2010-01-04 08:23:58,TPH4125,PC-0110,AC8FB2.zip,D0-CF-11-E0
{00000001FB6B-01A4226F},2010-01-04 08:24:02,CCL9026,PC-0010,D1136F.txt,D0-CF-11-E0
{000000025F7C-2D31A33A},2010-01-04 08:24:04,MUB0827,PC-0076,BF2191.txt,D0-CF-11-E0
{00000001FF85-13BD7403},2010-01-04 08:25:17,CQZ8674,PC-0013,EC00C1.png,D0-CF-11-E0
{000000026980-07E56EFB},2010-01-04 08:25:57,NRI9556,PC-0082,F21F15.zip,D0-CF-11-E0
{000000026A8F-3BAEB69F},2010-01-04 08:26:06,NRU3936,PC-0083,9FF8A8.zip,D0-CF-11-E0
{000000020742-0094F264},2010-01-04 08:26:08,DNM3159,PC-0019,E1B62A.zip,D0-CF-11-E0
{000000025641-05FEF803},2010-01-04 08:26:09,LME4168,PC-0065,AE072B.jpg,D0-CF-11-E0
{00000001F42E-184767C2},2010-01-04 08:28:27,ADG1145,PC-0001,31441C.txt,D0-CF-11-E0
{0000000253BC-3F3977EA},2010-01-04 08:32:44,LJE6857,PC-0064,B93F8F.pdf,D0-CF-11-E0
{000000020F36-354FA683},2010-01-04 08:35:28,DPC6498,PC-0022,7F2479.txt,D0-CF-11-E0
{00000002A4A4-15E0A83A},2010-01-04 08:35:58,VVU9026,PC-0130,DB6D22.pdf,D0-CF-11-E0
{000000025DE2-12A75282},2010-01-04 08:36:21,MNL1438,PC-0074,E0AC35.pdf,D0-CF-11-E0
{000000022A49-02E53559},2010-01-04 08:37:13,HLZ9923,PC-0042,9FB0E1.doc,D0-CF-11-E0
{00000002B87E-212499D4},2010-01-04 08:37:21,YLE8326,PC-0147,8245F8.pdf,D0-CF-11-E0
{0000000271BC-0CCB2782},2010-01-04 08:38:52,OYC3975,PC-0091,8B75CF.jpg,D0-CF-11-E0
{0000000294DF-2C8B488E},2010-01-04 08:44:07,ULT2722,PC-0119,3D0609.jpg,D0-CF-11-E0
{000000025A57-1541A995},2010-01-04 08:44:36,MAP5551,PC-0070,A9C740.png,D0-CF-11-E0
{00000002A3FD-3ED3ACC4},2010-01-04 08:50:30,VNI5142,PC-0129,179E48.pdf,D0-CF-11-E0
{000000020F33-0D9A4B5B},2010-01-04 08:51:35,DPC6498,PC-0022,D4A2F4.jpg,D0-CF-11-E0
{0000000280B5-05223D33},2010-01-04 08:52:51,RUT1946,PC-0104,9F9B1B.txt,D0-CF-11-E0
{000000020D47-2076EDA6},2010-01-04 08:52:58,DON7838,PC-0020,C5F1B7.png,D0-CF-11-E0
{00000001FF81-13CCC08A},2010-01-04 08:53:09,CQZ8674,PC-0013,67605E.jpg,D0-CF-11-E0
{00000002AC05-2F1F4E73},2010-01-04 08:59:20,WBM5944,PC-0134,73FD06.jpg,D0-CF-11-E0
{000000020745-2C69FA2E},2010-01-04 09:02:06,DNM3159,PC-0019,1B4CBD.doc,D0-CF-11-E0
{000000022647-3708166B},2010-01-04 09:03:58,HBA3736,PC-0039,C591D3.jpg,D0-CF-11-E0
{0000000244F0-3F2A7095},2010-01-04 09:08:37,JXM6997,PC-0056,B8CB3C.txt,D0-CF-11-E0
{000000026A91-261F2515},2010-01-04 09:15:14,NRU3936,PC-0083,A1AB71.jpg,D0-CF-11-E0
{0000000213D6-1D83BEA2},2010-01-04 09:16:19,DQV1058,PC-0023,C67A95.doc,D0-CF-11-E0
{00000001FF82-2C558E71},2010-01-04 09:17:45,CQZ8674,PC-0013,6BFE2E.jpg,D0-CF-11-E0
{00000001FF83-3EACC562},2010-01-04 09:18:55,CQZ8674,PC-0013,01EDDC.jpg,D0-CF-11-E0
{0000000280B1-2DFAC89B},2010-01-04 09:18:57,RUT1946,PC-0104,328BB1.pdf,D0-CF-11-E0
{000000026A90-38E195B4},2010-01-04 09:19:18,NRU3936,PC-0083,8DA056.jpg,D0-CF-11-E0
{000000024912-39B59D86},2010-01-04 09:20:09,KFW8041,PC-0057,F8E4AD.txt,D0-CF-11-E0
{000000020740-288EEA9F},2010-01-04 09:23:47,DNM3159,PC-0019,E05E7C.pdf,D0-CF-11-E0
{0000000250DF-1F721E43},2010-01-04 09:26:46,LDO0211,PC-0062,451B4D.pdf,D0-CF-11-E0
{00000001F9CE-2274A21C},2010-01-04 09:31:54,BMU1894,PC-0008,A01ABD.jpg,D0-CF-11-E0
{00000002979E-11D4F61E},2010-01-04 09:33:09,USS4618,PC-0121,6EBDA9.jpg,D0-CF-11-E0
{000000020D48-3065CE6E},2010-01-04 09:36:24,DON7838,PC-0020,DF14A7.doc,D0-CF-11-E0
{00000002A7A3-11060D10},2010-01-04 09:37:52,VVY1052,PC-0131,A8C109.png,D0-CF-11-E0
{000000028C3F-0B0013EE},2010-01-04 09:42:42,TPH4125,PC-0110,477588.zip,D0-CF-11-E0
{0000000294E0-0F87A756},2010-01-04 09:43:27,ULT2722,PC-0119,2A1F7D.pdf,D0-CF-11-E0
{00000002AD9F-3C444D87},2010-01-04 09:44:12,XDT1792,PC-0138,C39F99.jpg,D0-CF-11-E0
{00000002BC4D-3EC1B95F},2010-01-04 09:44:46,ZDH5063,PC-0150,69FAE3.jpg,D0-CF-11-E0
{00000002BC50-11CEDBCD},2010-01-04 09:45:22,ZDH5063,PC-0150,7FFD4A.png,D0-CF-11-E0
{00000002756A-01955229},2010-01-04 09:45:37,PJY0876,PC-0094,73411E.jpg,D0-CF-11-E0
{00000002C275-0D09C0F1},2010-01-04 09:45:52,ZFH4085,PC-0152,A4BE8D.doc,D0-CF-11-E0
{00000001FB69-338E1119},2010-01-04 09:46:01,CCL9026,PC-0010,3909F9.pdf,D0-CF-11-E0
{000000028881-3FC2C1C7},2010-01-04 09:46:04,SEX5010,PC-0107,1C1A63.zip,D0-CF-11-E0
{0000000253BE-330E254E},2010-01-04 09:46:30,LJE6857,PC-0064,29DBB6.txt,D0-CF-11-E0
{00000002B5F3-3E89ABE6},2010-01-04 09:47:18,YDM6963,PC-0145,F44211.jpg,D0-CF-11-E0
{0000000202D4-0DC1E863},2010-01-04 09:50:54,CVC0519,PC-0015,EDA006.jpg,D0-CF-11-E0
{0000000213D5-31F96B5E},2010-01-04 09:52:05,DQV1058,PC-0023,3ABD4F.pdf,D0-CF-11-E0
{00000002264A-37FF78A8},2010-01-04 09:57:03,HBA3736,PC-0039,ECBFAD.txt,D0-CF-11-E0
{00000002264B-3ACFA769},2010-01-04 09:58:20,HBA3736,PC-0039,B2253F.jpg,D0-CF-11-E0
{00000002299D-1745069F},2010-01-04 10:00:29,HDA6776,PC-0040,7E5523.jpg,D0-CF-11-E0
{0000000259A4-3CF4F8A4},2010-01-04 10:03:21,LYE5717,PC-0069,20786E.pdf,D0-CF-11-E0
{0000000202D7-2B267023},2010-01-04 10:04:00,CVC0519,PC-0015,52CA9F.zip,D0-CF-11-E0
{000000022BB3-2B70AE46},2010-01-04 10:08:29,HMR4907,PC-0043,C8B206.png,D0-CF-11-E0
{0000000218CC-31C251DC},2010-01-04 10:09:06,EIR1445,PC-0028,32B29E.txt,D0-CF-11-E0
{00000002911A-04FA5A83},2010-01-04 10:14:26,UBE4939,PC-0116,A6D4DC.doc,D0-CF-11-E0
