id,date,user,pc,activity
{00000001829C-0C2F9CE9},2010-01-04 00:01:19,LDO0211,PC-0062,Logon
{0000000179BA-3C7A3B32},2010-01-04 00:30:23,EHP1536,PC-0027,Logon
{000000018487-0C1EA6D4},2010-01-04 00:43:55,MAP5551,PC-0070,Logon
{000000019569-0D49E515},2010-01-04 00:57:35,YAE2296,PC-0144,Logon
{000000017F31-07A2E8F4},2010-01-04 00:59:05,ICP9160,PC-0046,Logon
{000000019E0D-171EC626},2010-01-04 01:02:23,EHP1536,PC-0027,Logoff
{00000001A6EF-29E47B21},2010-01-04 01:10:19,LDO0211,PC-0062,Logoff
{0000000188B9-30D8F3BB},2010-01-04 01:45:50,OLN5687,PC-0088,Logon
{0000000174DE-27EF6A31},2010-01-04 02:17:02,ADB8311,PC-0000,Logon
{00000001B9BC-2BCFF8DB},2010-01-04 03:15:35,YAE2296,PC-0144,Logoff
{0000000181AE-3BE2C0E0},2010-01-04 03:34:55,KIX3704,PC-0058,Logon
{00000001AD0C-38DA87F7},2010-01-04 03:48:50,OLN5687,PC-0088,Logoff
{00000001A8DA-1787B0A1},2010-01-04 04:09:55,MAP5551,PC-0070,Logoff
{00000001A384-2B8AC968},2010-01-04 04:14:05,ICP9160,PC-0046,Logoff
{00000001922B-1EEC71A6},2010-01-04 04:19:04,VNI5142,PC-0129,Logon
{000000019931-34B6C820},2010-01-04 04:21:02,ADB8311,PC-0000,Logoff
{00000001A601-0585C390},2010-01-04 04:42:55,KIX3704,PC-0058,Logoff
{0000000183F5-2D904DA2},2010-01-04 05:56:31,LWC6973,PC-0068,Logon
{0000000178D2-15FA7D3A},2010-01-04 05:59:50,DQV1058,PC-0023,Logon
{000000017F30-38BE784A},2010-01-04 06:24:37,ICP9160,PC-0046,Logon
{00000001B67E-1F3B8BC0},2010-01-04 06:39:04,VNI5142,PC-0129,Logoff
{000000018256-1DB53471},2010-01-04 06:40:45,KVI1669,PC-0060,Logon
{00000000717A-102C6378},2010-01-04 07:00:55,QSC3123,PC-0100,Logon
{0000000057D5-2AB6B746},2010-01-04 07:03:08,NHY9248,PC-0079,Logon
{00000000B478-361CF9AD},2010-01-04 07:04:07,ZPL3468,PC-0155,Logon
{000000000643-369DFE76},2010-01-04 07:05:48,AZE5960,PC-0006,Logon
